Cluster size,frequency,foTM
1,0.6293537787513691,0.38306666666666667
2,0.23110624315443593,0.2813333333333333
3,0.07929901423877328,0.1448
4,0.02891566265060241,0.0704
5,0.01533406352683461,0.04666666666666666
6,0.005914567360350493,0.0216
7,0.003723986856516977,0.015866666666666668
8,0.0030668127053669223,0.014933333333333333
9,0.001095290251916758,0.005999999999999999
10,0.0008762322015334064,0.005333333333333333
11,0.0006571741511500548,0.0044
12,0.0002190580503833516,0.0016
14,0.0002190580503833516,0.0018666666666666666
16,0.0002190580503833516,0.0021333333333333334
