# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 1.2000e+02 4.5000e+01 0.0000e+00 0.0000e+00
1.0000e+00 5.5200e+01 2.9600e+00 3.8158e+00 1.3705e+00
2.0000e+00 4.8920e+01 1.4800e+00 3.5991e+00 1.2687e+00
3.0000e+00 4.7720e+01 1.1200e+00 4.4228e+00 9.9277e-01
4.0000e+00 4.4960e+01 4.8000e-01 3.3164e+00 6.4000e-01
5.0000e+00 4.3080e+01 1.0800e+00 4.4804e+00 1.0553e+00
6.0000e+00 4.3320e+01 8.8000e-01 4.2400e+00 8.1584e-01
7.0000e+00 4.3760e+01 6.4000e-01 3.0236e+00 6.8586e-01
8.0000e+00 4.2760e+01 5.6000e-01 4.0227e+00 6.3750e-01
9.0000e+00 4.2040e+01 8.0000e-01 5.2420e+00 6.3246e-01
1.0000e+01 4.4480e+01 8.0000e-01 3.4190e+00 9.7980e-01
1.1000e+01 4.1720e+01 3.2000e-01 4.5389e+00 4.6648e-01
1.2000e+01 4.2640e+01 5.2000e-01 3.9687e+00 8.0598e-01
1.3000e+01 4.1920e+01 6.0000e-01 4.0390e+00 6.9282e-01
1.4000e+01 4.0960e+01 9.6000e-01 5.1028e+00 8.7086e-01
1.5000e+01 4.2080e+01 7.2000e-01 3.7194e+00 7.7563e-01
1.6000e+01 4.2480e+01 7.2000e-01 3.9306e+00 6.6453e-01
1.7000e+01 4.2080e+01 5.2000e-01 3.7194e+00 6.4000e-01
1.8000e+01 4.1920e+01 8.4000e-01 3.9992e+00 8.3331e-01
1.9000e+01 4.0880e+01 4.4000e-01 3.9326e+00 7.5260e-01
2.0000e+01 4.0400e+01 4.8000e-01 3.4525e+00 6.4000e-01
2.1000e+01 4.3840e+01 8.4000e-01 4.3514e+00 8.3331e-01
2.2000e+01 4.1000e+01 6.0000e-01 3.3823e+00 7.4833e-01
2.3000e+01 4.1000e+01 7.6000e-01 3.2741e+00 7.6315e-01
2.4000e+01 4.2080e+01 7.6000e-01 5.1763e+00 8.1388e-01
2.5000e+01 4.1280e+01 4.8000e-01 3.9347e+00 7.5472e-01
2.6000e+01 4.2080e+01 4.4000e-01 3.7833e+00 7.5260e-01
2.7000e+01 4.1480e+01 4.8000e-01 4.5354e+00 6.4000e-01
2.8000e+01 4.1520e+01 6.0000e-01 4.8010e+00 6.3246e-01
2.9000e+01 4.3080e+01 9.2000e-01 4.0980e+00 9.3467e-01
3.0000e+01 4.3480e+01 8.8000e-01 2.8583e+00 7.6525e-01
3.1000e+01 4.1800e+01 8.8000e-01 4.2332e+00 8.1584e-01
3.2000e+01 4.0880e+01 7.2000e-01 4.1116e+00 8.2559e-01
3.3000e+01 4.3360e+01 6.0000e-01 3.6429e+00 8.0000e-01
3.4000e+01 4.2280e+01 6.8000e-01 3.9751e+00 6.1449e-01
3.5000e+01 4.1080e+01 9.6000e-01 4.0390e+00 1.0385e+00
3.6000e+01 4.2680e+01 6.4000e-01 3.8958e+00 7.9398e-01
3.7000e+01 4.1600e+01 4.0000e-01 3.7417e+00 6.3246e-01
3.8000e+01 4.2760e+01 6.8000e-01 3.5920e+00 6.7646e-01
3.9000e+01 4.1600e+01 4.8000e-01 3.8471e+00 4.9960e-01
4.0000e+01 4.1160e+01 7.6000e-01 4.0564e+00 8.1388e-01
4.1000e+01 4.0840e+01 6.8000e-01 3.6735e+00 6.7646e-01
4.2000e+01 4.1640e+01 4.8000e-01 3.8872e+00 5.7411e-01
4.3000e+01 4.2280e+01 8.0000e-01 3.9347e+00 8.4853e-01
4.4000e+01 4.1760e+01 3.6000e-01 4.2547e+00 4.8000e-01
4.5000e+01 4.2760e+01 6.0000e-01 5.3162e+00 6.3246e-01
4.6000e+01 4.0720e+01 4.0000e-01 4.2850e+00 6.3246e-01
4.7000e+01 4.1440e+01 6.0000e-01 4.2055e+00 8.0000e-01
4.8000e+01 4.0840e+01 7.6000e-01 3.7382e+00 7.0880e-01
4.9000e+01 4.1320e+01 3.6000e-01 4.0863e+00 5.5714e-01
5.0000e+01 4.0520e+01 9.2000e-01 4.0804e+00 8.9084e-01
