# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 4.5000e+01 4.5000e+01 0.0000e+00 0.0000e+00
1.0000e+00 2.0840e+01 1.9000e+01 3.3785e+00 2.9933e+00
2.0000e+00 1.6920e+01 1.3720e+01 2.4318e+00 2.7498e+00
3.0000e+00 1.5680e+01 1.2200e+01 3.0426e+00 2.6683e+00
4.0000e+00 1.5760e+01 1.2080e+01 2.8040e+00 3.2115e+00
5.0000e+00 1.4440e+01 1.1240e+01 2.1924e+00 3.3140e+00
6.0000e+00 1.5040e+01 1.0520e+01 2.4735e+00 2.5317e+00
7.0000e+00 1.5240e+01 1.1400e+01 2.7023e+00 3.1241e+00
8.0000e+00 1.5880e+01 1.0840e+01 2.6430e+00 2.7522e+00
9.0000e+00 1.6120e+01 1.1440e+01 2.6731e+00 2.5781e+00
1.0000e+01 1.5440e+01 1.1160e+01 2.6394e+00 2.5562e+00
1.1000e+01 1.5160e+01 1.1440e+01 1.7362e+00 2.6242e+00
1.2000e+01 1.5840e+01 1.1480e+01 2.3779e+00 2.2293e+00
1.3000e+01 1.4600e+01 1.1120e+01 2.3833e+00 2.7323e+00
1.4000e+01 1.5560e+01 1.1000e+01 2.4344e+00 3.1875e+00
1.5000e+01 1.5680e+01 1.1480e+01 2.0143e+00 2.8722e+00
1.6000e+01 1.5120e+01 1.0960e+01 2.2507e+00 2.5687e+00
1.7000e+01 1.5680e+01 1.0880e+01 2.2578e+00 2.7759e+00
1.8000e+01 1.4720e+01 1.0920e+01 3.1688e+00 2.8972e+00
1.9000e+01 1.4440e+01 1.1000e+01 3.0994e+00 2.5923e+00
2.0000e+01 1.4760e+01 1.0880e+01 2.2677e+00 1.9250e+00
2.1000e+01 1.4960e+01 1.0360e+01 2.2177e+00 2.4146e+00
2.2000e+01 1.5840e+01 1.1640e+01 2.2393e+00 2.5904e+00
2.3000e+01 1.5960e+01 1.0800e+01 3.3284e+00 3.2125e+00
2.4000e+01 1.4960e+01 1.1400e+01 2.3913e+00 3.0725e+00
2.5000e+01 1.4640e+01 1.0600e+01 2.4800e+00 3.3823e+00
2.6000e+01 1.5320e+01 1.0440e+01 2.9492e+00 2.2642e+00
2.7000e+01 1.5480e+01 1.0440e+01 2.4020e+00 2.6394e+00
2.8000e+01 1.4960e+01 9.8800e+00 2.4410e+00 2.5506e+00
2.9000e+01 1.5000e+01 1.0520e+01 2.4331e+00 2.4839e+00
3.0000e+01 1.5200e+01 1.0360e+01 2.4980e+00 2.2957e+00
3.1000e+01 1.5720e+01 1.1040e+01 2.9054e+00 2.9997e+00
3.2000e+01 1.4840e+01 1.0960e+01 2.5089e+00 2.1814e+00
3.3000e+01 1.3840e+01 1.0040e+01 2.2393e+00 2.3234e+00
3.4000e+01 1.5360e+01 1.1600e+01 3.1734e+00 3.5214e+00
3.5000e+01 1.5160e+01 1.1080e+01 2.6934e+00 2.7845e+00
3.6000e+01 1.4320e+01 9.6800e+00 2.2400e+00 2.2040e+00
3.7000e+01 1.4720e+01 1.0400e+01 2.4580e+00 2.7713e+00
3.8000e+01 1.5360e+01 1.0640e+01 2.6058e+00 2.8549e+00
3.9000e+01 1.4880e+01 1.0880e+01 3.0374e+00 2.9027e+00
4.0000e+01 1.3880e+01 1.0200e+01 2.8188e+00 2.7423e+00
4.1000e+01 1.4720e+01 1.0400e+01 2.5694e+00 2.9394e+00
4.2000e+01 1.5200e+01 9.4000e+00 2.5298e+00 2.8284e+00
4.3000e+01 1.4240e+01 9.6800e+00 2.0451e+00 2.8103e+00
4.4000e+01 1.5360e+01 9.8000e+00 2.3980e+00 2.4166e+00
4.5000e+01 1.5000e+01 1.0280e+01 2.2804e+00 2.9192e+00
4.6000e+01 1.4760e+01 1.0840e+01 1.9242e+00 1.9734e+00
4.7000e+01 1.4360e+01 1.0240e+01 2.4638e+00 2.8040e+00
4.8000e+01 1.5760e+01 1.1720e+01 2.0056e+00 2.2542e+00
4.9000e+01 1.5120e+01 1.1520e+01 2.5031e+00 2.2112e+00
5.0000e+01 1.4640e+01 1.0880e+01 2.6211e+00 2.6279e+00
