# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 7.5000e+01 9.0000e+01 0.0000e+00 0.0000e+00
1.0000e+00 1.3320e+01 2.2720e+01 3.0688e+00 5.2270e+00
2.0000e+00 8.7600e+00 1.6760e+01 2.4864e+00 3.9220e+00
3.0000e+00 6.9200e+00 1.4920e+01 2.1711e+00 3.7727e+00
4.0000e+00 5.9200e+00 1.3840e+01 1.7871e+00 2.6934e+00
5.0000e+00 5.9600e+00 1.3800e+01 2.5687e+00 2.7857e+00
6.0000e+00 5.4800e+00 1.3200e+01 1.9620e+00 3.1241e+00
7.0000e+00 5.5600e+00 1.2640e+01 1.8779e+00 3.0709e+00
8.0000e+00 5.1600e+00 1.2480e+01 1.7817e+00 2.4351e+00
9.0000e+00 5.0400e+00 1.1520e+01 2.1814e+00 2.6400e+00
1.0000e+01 4.1200e+00 1.1920e+01 1.4232e+00 2.6821e+00
1.1000e+01 4.8400e+00 1.1480e+01 2.1481e+00 2.5631e+00
1.2000e+01 4.3600e+00 1.1720e+01 1.9366e+00 3.1940e+00
1.3000e+01 4.3600e+00 1.1120e+01 2.0373e+00 2.8329e+00
1.4000e+01 4.4000e+00 1.1480e+01 1.7889e+00 2.4514e+00
1.5000e+01 4.2800e+00 1.1920e+01 2.0884e+00 2.2436e+00
1.6000e+01 4.2800e+00 1.1520e+01 1.8659e+00 2.8017e+00
1.7000e+01 4.6000e+00 1.1360e+01 2.0396e+00 2.9104e+00
1.8000e+01 4.4000e+00 1.1160e+01 1.8974e+00 2.5406e+00
1.9000e+01 4.5200e+00 1.1040e+01 1.6278e+00 3.3880e+00
2.0000e+01 3.8800e+00 1.0680e+01 1.8181e+00 2.5569e+00
2.1000e+01 4.8000e+00 1.1160e+01 2.2450e+00 2.9890e+00
2.2000e+01 4.8400e+00 1.1200e+01 2.3440e+00 2.4166e+00
2.3000e+01 4.7600e+00 1.1680e+01 1.7951e+00 1.9333e+00
2.4000e+01 5.0400e+00 1.0640e+01 1.8216e+00 2.2606e+00
2.5000e+01 4.4800e+00 1.0440e+01 1.6999e+00 2.3338e+00
2.6000e+01 5.2400e+00 1.0880e+01 1.6560e+00 2.4219e+00
2.7000e+01 4.8400e+00 1.1000e+01 2.2214e+00 2.5298e+00
2.8000e+01 5.4800e+00 1.1560e+01 1.9823e+00 2.2285e+00
2.9000e+01 4.9200e+00 1.1080e+01 1.8957e+00 3.2854e+00
3.0000e+01 5.3600e+00 1.0240e+01 1.8084e+00 2.5656e+00
3.1000e+01 4.2800e+00 1.0600e+01 2.0104e+00 3.0199e+00
3.2000e+01 4.0400e+00 1.0240e+01 2.0294e+00 2.1777e+00
3.3000e+01 4.7200e+00 1.1080e+01 2.0104e+00 2.7265e+00
3.4000e+01 4.1200e+00 1.1040e+01 1.3659e+00 2.6605e+00
3.5000e+01 3.8400e+00 1.0880e+01 1.8040e+00 2.1967e+00
3.6000e+01 4.7200e+00 1.1640e+01 2.0104e+00 3.0709e+00
3.7000e+01 4.6800e+00 1.0760e+01 1.9125e+00 2.8605e+00
3.8000e+01 4.0000e+00 1.0880e+01 1.7436e+00 2.8889e+00
3.9000e+01 4.4400e+00 1.0920e+01 1.9200e+00 2.3819e+00
4.0000e+01 4.3600e+00 1.0880e+01 1.4664e+00 2.8188e+00
4.1000e+01 4.6800e+00 1.0480e+01 1.9333e+00 2.8301e+00
4.2000e+01 4.0000e+00 1.0360e+01 2.0396e+00 3.2234e+00
4.3000e+01 4.0800e+00 1.0720e+01 1.7871e+00 2.5694e+00
4.4000e+01 5.0400e+00 1.0920e+01 2.0294e+00 3.0584e+00
4.5000e+01 4.4400e+00 1.0880e+01 2.1181e+00 2.7759e+00
4.6000e+01 5.4800e+00 1.2440e+01 1.8356e+00 2.8437e+00
4.7000e+01 4.4800e+00 1.1120e+01 1.8356e+00 2.5349e+00
4.8000e+01 4.6800e+00 1.1640e+01 1.3482e+00 3.0839e+00
4.9000e+01 5.4400e+00 1.0680e+01 1.8991e+00 3.1333e+00
5.0000e+01 4.5600e+00 1.0840e+01 1.9612e+00 2.7229e+00
