Cluster size,frequency,foTM
1,0.42904798562997176,0.12385185185185185
2,0.2317167051578137,0.13377777777777777
3,0.10033358994098024,0.08688888888888889
4,0.057993328201180395,0.06696296296296296
5,0.03951757762381319,0.05703703703703703
6,0.028226841159866563,0.04888888888888889
7,0.01821914293045933,0.036814814814814814
8,0.016422889402104183,0.037925925925925925
9,0.008981267641775726,0.02333333333333333
10,0.008211444701052091,0.023703703703703703
11,0.007441621760328458,0.02362962962962963
12,0.004875545291249679,0.01688888888888889
13,0.007441621760328458,0.027925925925925927
14,0.0028226841159866563,0.011407407407407408
15,0.003079291762894534,0.013333333333333332
16,0.003079291762894534,0.014222222222222223
17,0.004618937644341801,0.022666666666666665
18,0.00359250705671029,0.018666666666666665
19,0.003079291762894534,0.016888888888888887
20,0.0007698229407236335,0.0044444444444444444
21,0.002052861175263023,0.012444444444444444
22,0.001539645881447267,0.009777777777777778
23,0.0005132152938157557,0.0034074074074074076
24,0.0012830382345393892,0.008888888888888889
25,0.0012830382345393892,0.009259259259259259
26,0.0012830382345393892,0.00962962962962963
27,0.0010264305876315114,0.008
28,0.001539645881447267,0.012444444444444445
29,0.00025660764690787786,0.002148148148148148
30,0.0007698229407236335,0.006666666666666666
31,0.0010264305876315114,0.009185185185185185
32,0.0005132152938157557,0.004740740740740741
34,0.00025660764690787786,0.0025185185185185185
35,0.0007698229407236335,0.0077777777777777776
36,0.0010264305876315114,0.010666666666666666
37,0.00025660764690787786,0.0027407407407407406
38,0.00025660764690787786,0.0028148148148148147
39,0.00025660764690787786,0.0028888888888888888
40,0.00025660764690787786,0.002962962962962963
41,0.0007698229407236335,0.009111111111111111
44,0.0007698229407236335,0.009777777777777778
45,0.00025660764690787786,0.0033333333333333335
47,0.0007698229407236335,0.010444444444444445
48,0.00025660764690787786,0.0035555555555555557
50,0.00025660764690787786,0.003703703703703704
52,0.00025660764690787786,0.003851851851851852
56,0.00025660764690787786,0.004148148148148148
57,0.00025660764690787786,0.004222222222222222
60,0.00025660764690787786,0.0044444444444444444
70,0.00025660764690787786,0.005185185185185185
