Total clusters, 25

Cluster Index, 0
Size, 3
poly_A, 2
poly_B, 1

Cluster Index, 2
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 3
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 4
Size, 14
poly_A, 8
poly_B, 6

Cluster Index, 5
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 6
Size, 8
poly_A, 4
poly_B, 4

Cluster Index, 7
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 9
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 11
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 12
Size, 7
poly_A, 3
poly_B, 4

Cluster Index, 14
Size, 2
poly_A, 1
poly_B, 1

