# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 1.0500e+02 1.5000e+01 0.0000e+00 0.0000e+00
1.0000e+00 8.1600e+01 1.0400e+00 3.0594e+00 7.2000e-01
2.0000e+00 7.9800e+01 1.0000e+00 3.7202e+00 9.3808e-01
3.0000e+00 7.7200e+01 4.4000e-01 3.1369e+00 6.3750e-01
4.0000e+00 7.6920e+01 5.2000e-01 3.3932e+00 7.5472e-01
5.0000e+00 7.5800e+01 3.6000e-01 3.2125e+00 5.5714e-01
6.0000e+00 7.5680e+01 1.6000e-01 3.5634e+00 3.6661e-01
7.0000e+00 7.6840e+01 4.0000e-01 2.4113e+00 5.6569e-01
8.0000e+00 7.5880e+01 2.0000e-01 3.9428e+00 4.8990e-01
9.0000e+00 7.5400e+01 8.0000e-02 2.2627e+00 2.7129e-01
1.0000e+01 7.6160e+01 2.4000e-01 3.7702e+00 4.2708e-01
1.1000e+01 7.6440e+01 2.8000e-01 3.3236e+00 5.3066e-01
1.2000e+01 7.6160e+01 4.0000e-01 2.6785e+00 6.3246e-01
1.3000e+01 7.5520e+01 3.2000e-01 3.6345e+00 4.6648e-01
1.4000e+01 7.5800e+01 4.0000e-01 2.8000e+00 5.6569e-01
1.5000e+01 7.4600e+01 1.6000e-01 3.3586e+00 3.6661e-01
1.6000e+01 7.5680e+01 2.0000e-01 3.1333e+00 4.8990e-01
1.7000e+01 7.6000e+01 2.4000e-01 2.9257e+00 4.2708e-01
1.8000e+01 7.4880e+01 1.2000e-01 3.0374e+00 3.2496e-01
1.9000e+01 7.5000e+01 2.0000e-01 3.0725e+00 4.0000e-01
2.0000e+01 7.5880e+01 1.6000e-01 3.5476e+00 4.6303e-01
2.1000e+01 7.5080e+01 1.6000e-01 2.6065e+00 3.6661e-01
2.2000e+01 7.5080e+01 3.6000e-01 1.9374e+00 4.8000e-01
2.3000e+01 7.5720e+01 1.6000e-01 3.2683e+00 3.6661e-01
2.4000e+01 7.5680e+01 3.2000e-01 2.9492e+00 5.4553e-01
2.5000e+01 7.4880e+01 2.8000e-01 2.9976e+00 4.4900e-01
2.6000e+01 7.5600e+01 3.6000e-01 2.9120e+00 6.2482e-01
2.7000e+01 7.6600e+01 1.6000e-01 3.6551e+00 3.6661e-01
2.8000e+01 7.5560e+01 3.2000e-01 2.2992e+00 6.1449e-01
2.9000e+01 7.5440e+01 1.6000e-01 2.7724e+00 3.6661e-01
3.0000e+01 7.4880e+01 1.6000e-01 3.2902e+00 4.6303e-01
3.1000e+01 7.5280e+01 1.2000e-01 2.5380e+00 3.2496e-01
3.2000e+01 7.5360e+01 2.4000e-01 2.0953e+00 5.1225e-01
3.3000e+01 7.6000e+01 2.0000e-01 3.1369e+00 4.0000e-01
3.4000e+01 7.6280e+01 3.6000e-01 3.3885e+00 5.5714e-01
3.5000e+01 7.5200e+01 3.2000e-01 3.0463e+00 6.1449e-01
3.6000e+01 7.5200e+01 1.6000e-01 3.0594e+00 3.6661e-01
3.7000e+01 7.6960e+01 2.8000e-01 3.6275e+00 5.3066e-01
3.8000e+01 7.5680e+01 2.0000e-01 2.6791e+00 4.8990e-01
3.9000e+01 7.6240e+01 2.4000e-01 2.9021e+00 4.2708e-01
4.0000e+01 7.6080e+01 3.2000e-01 3.4284e+00 5.4553e-01
4.1000e+01 7.4760e+01 1.6000e-01 2.4864e+00 3.6661e-01
4.2000e+01 7.5200e+01 2.8000e-01 3.0984e+00 6.6453e-01
4.3000e+01 7.6000e+01 2.4000e-01 3.5777e+00 5.1225e-01
4.4000e+01 7.5720e+01 4.0000e-01 3.0922e+00 5.6569e-01
4.5000e+01 7.5040e+01 2.4000e-01 3.3880e+00 4.2708e-01
4.6000e+01 7.5760e+01 2.0000e-01 2.6272e+00 4.8990e-01
4.7000e+01 7.6080e+01 2.8000e-01 2.5600e+00 5.3066e-01
4.8000e+01 7.5800e+01 1.6000e-01 3.7310e+00 3.6661e-01
4.9000e+01 7.5040e+01 2.0000e-01 2.7926e+00 4.0000e-01
5.0000e+01 7.5880e+01 2.8000e-01 2.6581e+00 4.4900e-01
