# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 3.0000e+01 3.0000e+01 0.0000e+00 0.0000e+00
1.0000e+00 1.5680e+01 1.5560e+01 3.4260e+00 2.5781e+00
2.0000e+00 1.2120e+01 1.2280e+01 3.1537e+00 2.9328e+00
3.0000e+00 1.0520e+01 1.0680e+01 2.6851e+00 2.2929e+00
4.0000e+00 9.4000e+00 9.5600e+00 2.6533e+00 3.1885e+00
5.0000e+00 8.9600e+00 9.0000e+00 2.5843e+00 2.5923e+00
6.0000e+00 8.6400e+00 7.9200e+00 1.8948e+00 2.3481e+00
7.0000e+00 8.6800e+00 8.3200e+00 2.0731e+00 2.0923e+00
8.0000e+00 9.1200e+00 8.6400e+00 1.9250e+00 2.0175e+00
9.0000e+00 8.1200e+00 8.4800e+00 1.8400e+00 1.8787e+00
1.0000e+01 8.5200e+00 8.6000e+00 2.1931e+00 2.1541e+00
1.1000e+01 7.6800e+00 7.7600e+00 2.2929e+00 1.3351e+00
1.2000e+01 7.2000e+00 8.2800e+00 2.5456e+00 1.9702e+00
1.3000e+01 7.0800e+00 7.9200e+00 1.9783e+00 1.9374e+00
1.4000e+01 8.2800e+00 8.2800e+00 2.4252e+00 2.1264e+00
1.5000e+01 7.3600e+00 7.4400e+00 2.0373e+00 1.8779e+00
1.6000e+01 7.6400e+00 7.7600e+00 2.3980e+00 2.4703e+00
1.7000e+01 7.9200e+00 8.3600e+00 2.4645e+00 2.1518e+00
1.8000e+01 8.4000e+00 7.6000e+00 2.0591e+00 2.2450e+00
1.9000e+01 7.4800e+00 7.4800e+00 2.0024e+00 2.3344e+00
2.0000e+01 7.3600e+00 7.5200e+00 2.0568e+00 1.9208e+00
2.1000e+01 7.5600e+00 7.5200e+00 2.0215e+00 1.9208e+00
2.2000e+01 7.6800e+00 8.3600e+00 1.9539e+00 2.4638e+00
2.3000e+01 7.5200e+00 7.5200e+00 1.9208e+00 2.0808e+00
2.4000e+01 7.0000e+00 7.6400e+00 2.0000e+00 2.0762e+00
2.5000e+01 7.8400e+00 8.4800e+00 2.0529e+00 2.0999e+00
2.6000e+01 7.9200e+00 8.2000e+00 2.6218e+00 2.0396e+00
2.7000e+01 7.8400e+00 7.8800e+00 2.6485e+00 2.7176e+00
2.8000e+01 7.6400e+00 7.0800e+00 2.2957e+00 2.6218e+00
2.9000e+01 7.1600e+00 7.4400e+00 2.0723e+00 2.2105e+00
3.0000e+01 7.1600e+00 7.3200e+00 2.2214e+00 1.8702e+00
3.1000e+01 7.5600e+00 7.6400e+00 1.8128e+00 1.5461e+00
3.2000e+01 7.4400e+00 7.5600e+00 2.2642e+00 1.8128e+00
3.3000e+01 7.5600e+00 7.4800e+00 2.2818e+00 2.1931e+00
3.4000e+01 7.1600e+00 7.2400e+00 2.2214e+00 1.8821e+00
3.5000e+01 7.7600e+00 7.6400e+00 2.7317e+00 2.1332e+00
3.6000e+01 7.7600e+00 7.8800e+00 1.9242e+00 2.5031e+00
3.7000e+01 7.2800e+00 7.3200e+00 1.9498e+00 2.1674e+00
3.8000e+01 7.8000e+00 7.2000e+00 2.4980e+00 2.2091e+00
3.9000e+01 7.3600e+00 7.0000e+00 1.7177e+00 1.6248e+00
4.0000e+01 7.1600e+00 6.7200e+00 1.9325e+00 1.6618e+00
4.1000e+01 7.9200e+00 7.3600e+00 1.4945e+00 1.7636e+00
4.2000e+01 7.2000e+00 7.6000e+00 1.8330e+00 2.0591e+00
4.3000e+01 7.2800e+00 7.8000e+00 1.8872e+00 1.7205e+00
4.4000e+01 7.4000e+00 7.2800e+00 1.5232e+00 2.2364e+00
4.5000e+01 7.2000e+00 7.3200e+00 1.8111e+00 1.9742e+00
4.6000e+01 8.0800e+00 8.2400e+00 1.8745e+00 2.0451e+00
4.7000e+01 7.2400e+00 7.4400e+00 2.3542e+00 2.0800e+00
4.8000e+01 7.9600e+00 8.1600e+00 2.5687e+00 2.0915e+00
4.9000e+01 8.2800e+00 7.6400e+00 2.0104e+00 2.0953e+00
5.0000e+01 7.7200e+00 7.4400e+00 2.1075e+00 2.0607e+00
