Cluster size,frequency,foTM
1,0.5372645372645373,0.2624
2,0.2265902265902266,0.22133333333333335
3,0.10565110565110565,0.15480000000000002
4,0.05869505869505869,0.11466666666666667
5,0.023205023205023205,0.056666666666666664
6,0.015561015561015561,0.0456
7,0.01092001092001092,0.03733333333333333
8,0.007917007917007918,0.030933333333333334
9,0.003822003822003822,0.0168
10,0.00273000273000273,0.013333333333333332
11,0.002457002457002457,0.0132
12,0.00273000273000273,0.016
13,0.001365001365001365,0.008666666666666666
14,0.000546000546000546,0.0037333333333333333
16,0.000273000273000273,0.0021333333333333334
18,0.000273000273000273,0.0024
