# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 9.0000e+01 9.0000e+01 0.0000e+00 0.0000e+00
1.0000e+00 1.6800e+01 1.4840e+01 3.0594e+00 3.8019e+00
2.0000e+00 1.2720e+01 1.0760e+01 3.7791e+00 3.2407e+00
3.0000e+00 1.1280e+01 9.0400e+00 3.2313e+00 3.6822e+00
4.0000e+00 1.0200e+01 7.6800e+00 2.6230e+00 2.8386e+00
5.0000e+00 1.0360e+01 7.8000e+00 1.9775e+00 2.3324e+00
6.0000e+00 1.0400e+01 7.2400e+00 2.3833e+00 2.2677e+00
7.0000e+00 9.1200e+00 7.4800e+00 2.0262e+00 2.2999e+00
8.0000e+00 8.7600e+00 6.7200e+00 2.1960e+00 2.2364e+00
9.0000e+00 9.1200e+00 6.4800e+00 2.5818e+00 2.4999e+00
1.0000e+01 9.0000e+00 6.9200e+00 2.3664e+00 1.9580e+00
1.1000e+01 8.8000e+00 6.0400e+00 2.2271e+00 2.1630e+00
1.2000e+01 8.0400e+00 6.5200e+00 1.5869e+00 2.3685e+00
1.3000e+01 8.5200e+00 5.8800e+00 1.8356e+00 2.4384e+00
1.4000e+01 8.6400e+00 6.8000e+00 3.0183e+00 2.6382e+00
1.5000e+01 8.4400e+00 6.8000e+00 2.3678e+00 2.0976e+00
1.6000e+01 7.8400e+00 6.5200e+00 2.6485e+00 2.1377e+00
1.7000e+01 8.6400e+00 7.0400e+00 2.7695e+00 1.7545e+00
1.8000e+01 8.4800e+00 6.6000e+00 3.2878e+00 2.3664e+00
1.9000e+01 8.8400e+00 6.8400e+00 2.5089e+00 2.7229e+00
2.0000e+01 9.2000e+00 6.8800e+00 2.1909e+00 3.0766e+00
2.1000e+01 8.3200e+00 6.0400e+00 2.7235e+00 1.7996e+00
2.2000e+01 8.3600e+00 6.6000e+00 3.1481e+00 2.3664e+00
2.3000e+01 7.7600e+00 6.2000e+00 2.1030e+00 1.9391e+00
2.4000e+01 8.2400e+00 5.9600e+00 3.1149e+00 2.5216e+00
2.5000e+01 8.1200e+00 5.8000e+00 2.5506e+00 1.9183e+00
2.6000e+01 7.2000e+00 6.1600e+00 2.1354e+00 2.3947e+00
2.7000e+01 8.5200e+00 6.5200e+00 2.5317e+00 2.5631e+00
2.8000e+01 8.6400e+00 6.3600e+00 2.1887e+00 2.4311e+00
2.9000e+01 7.8000e+00 5.6800e+00 2.7423e+00 2.4120e+00
3.0000e+01 7.4400e+00 6.2400e+00 2.3165e+00 2.5812e+00
3.1000e+01 7.3600e+00 6.2800e+00 2.7695e+00 2.2004e+00
3.2000e+01 8.0000e+00 6.8400e+00 2.5456e+00 2.2033e+00
3.3000e+01 7.6800e+00 5.5600e+00 2.1858e+00 2.4344e+00
3.4000e+01 8.4000e+00 6.1600e+00 2.5612e+00 2.3269e+00
3.5000e+01 8.2000e+00 6.2000e+00 2.5298e+00 1.7205e+00
3.6000e+01 7.6000e+00 6.2400e+00 1.7436e+00 2.2677e+00
3.7000e+01 7.6800e+00 5.8800e+00 2.2221e+00 2.4871e+00
3.8000e+01 8.3600e+00 6.3200e+00 2.7259e+00 2.2578e+00
3.9000e+01 8.2400e+00 6.7200e+00 2.7609e+00 2.2185e+00
4.0000e+01 7.3600e+00 6.1600e+00 2.5904e+00 1.9734e+00
4.1000e+01 8.1600e+00 5.9600e+00 2.5248e+00 1.6608e+00
4.2000e+01 7.6400e+00 5.7200e+00 2.3131e+00 2.5063e+00
4.3000e+01 7.3600e+00 6.0800e+00 2.2606e+00 1.7871e+00
4.4000e+01 7.8400e+00 6.2800e+00 2.2747e+00 2.1451e+00
4.5000e+01 8.4400e+00 6.6800e+00 2.4832e+00 3.0426e+00
4.6000e+01 7.6000e+00 6.4400e+00 1.6971e+00 2.7580e+00
4.7000e+01 7.1200e+00 6.2800e+00 1.9661e+00 2.3069e+00
4.8000e+01 8.4800e+00 5.8000e+00 2.8722e+00 1.8762e+00
4.9000e+01 7.2000e+00 6.2400e+00 2.0396e+00 2.5184e+00
5.0000e+01 7.7600e+00 5.8000e+00 2.1219e+00 1.7436e+00
