Cluster size,frequency,foTM
1,0.8820813696258536,0.6793333333333333
2,0.029527748388958355,0.045481481481481484
3,0.04664807155910359,0.10777777777777778
4,0.02077522362219871,0.064
5,0.008752524766759643,0.0337037037037037
6,0.005193805905549678,0.024
7,0.003173992497835914,0.01711111111111111
8,0.0013465422718091757,0.008296296296296296
9,0.0010579974992786382,0.007333333333333333
10,0.0003847263633740502,0.002962962962962963
11,0.0005770895450610753,0.004888888888888889
12,9.618159084351255e-05,0.0008888888888888889
13,0.00028854477253053765,0.0028888888888888888
18,9.618159084351255e-05,0.0013333333333333333
