Cluster size,frequency,foTM
1,0.5633438135749954,0.29009523809523813
2,0.23118180136859626,0.2380952380952381
3,0.09691141113371556,0.14971428571428572
4,0.04512668762714999,0.09295238095238095
5,0.022193452931385242,0.05714285714285714
6,0.015350471610874793,0.04742857142857143
7,0.007212872202700203,0.026
8,0.0068429813205104495,0.028190476190476193
9,0.0046236360273719255,0.02142857142857143
10,0.002219345293138524,0.011428571428571429
11,0.0009247272054743851,0.005238095238095238
12,0.001109672646569262,0.006857142857142858
13,0.0009247272054743851,0.00619047619047619
14,0.000369890882189754,0.0026666666666666666
15,0.000184945441094877,0.0014285714285714286
16,0.000369890882189754,0.0030476190476190477
17,0.000184945441094877,0.0016190476190476191
19,0.000369890882189754,0.003619047619047619
22,0.000184945441094877,0.0020952380952380953
24,0.000184945441094877,0.002285714285714286
26,0.000184945441094877,0.002476190476190476
