Time, TOTAL poly_A,FREE poly_A,BOUND poly_A,TOTAL poly_B,FREE poly_B,BOUND poly_B,
0.0,30,30,0,30,30,0,
0.001000000000002041,30,17,13,30,14,16,
0.002000009999996102,30,10,20,30,11,19,
0.0030000099999901633,30,7,23,30,12,18,
0.0040000099999842244,30,11,19,30,11,19,
0.005000009999978286,30,8,22,30,9,21,
0.006000009999972347,30,6,24,30,7,23,
0.007000009999966408,30,5,25,30,4,26,
0.00800000999996047,30,7,23,30,5,25,
0.00900000999995453,30,5,25,30,6,24,
0.010000009999948592,30,2,28,30,5,25,
0.011000009999942653,30,4,26,30,8,22,
0.012000009999936714,30,7,23,30,7,23,
0.013000009999930775,30,7,23,30,8,22,
0.014000009999924836,30,8,22,30,9,21,
0.015000009999918898,30,9,21,30,8,22,
0.016000009999978013,30,6,24,30,7,23,
0.017000000000145545,30,8,22,30,9,21,
0.018000000000313078,30,8,22,30,8,22,
0.01900000000048061,30,6,24,30,6,24,
0.020000000000648145,30,6,24,30,6,24,
0.02100000000081568,30,7,23,30,7,23,
0.022000000000983212,30,5,25,30,9,21,
0.023000000001150746,30,6,24,30,6,24,
0.02400000000131828,30,8,22,30,9,21,
0.025000000001485813,30,9,21,30,11,19,
0.026000000001653346,30,10,20,30,10,20,
0.02700000000182088,30,8,22,30,10,20,
0.028000000001988413,30,8,22,30,11,19,
0.029000000002155947,30,8,22,30,9,21,
0.03000000000232348,30,7,23,30,8,22,
0.031000000002491014,30,10,20,30,9,21,
0.03200000000265855,30,6,24,30,6,24,
0.03300000000282608,30,7,23,30,8,22,
0.034000000002993615,30,7,23,30,9,21,
0.03500000000316115,30,9,21,30,9,21,
0.03600000000332868,30,9,21,30,5,25,
0.037000000003496215,30,7,23,30,8,22,
0.03800000000366375,30,9,21,30,9,21,
0.03900000000383128,30,7,23,30,7,23,
0.040000000003998816,30,8,22,30,5,25,
0.04100000000416635,30,7,23,30,4,26,
0.04200000000433388,30,6,24,30,7,23,
0.04300000000450142,30,6,24,30,9,21,
0.04400000000466895,30,7,23,30,10,20,
0.045000000004836484,30,7,23,30,7,23,
0.04600000000500402,30,8,22,30,10,20,
0.04700000000517155,30,13,17,30,14,16,
0.048000000005339084,30,10,20,30,7,23,
0.04900000000550662,30,10,20,30,7,23,
0.05000000000567415,30,10,20,30,6,24,
