Cluster size,frequency,foTM
1,0.49463806970509383,0.13418181818181818
2,0.1671134941912422,0.09066666666666666
3,0.10656836461126006,0.08672727272727272
4,0.05361930294906166,0.05818181818181818
5,0.03686327077747989,0.05
6,0.02546916890080429,0.04145454545454545
7,0.013181411974977658,0.02503030303030303
8,0.0160857908847185,0.03490909090909091
9,0.010053619302949061,0.024545454545454547
10,0.008489722966934763,0.02303030303030303
11,0.00871313672922252,0.026
12,0.004915102770330653,0.016
13,0.0042448614834673815,0.01496969696969697
14,0.004468275245755138,0.01696969696969697
15,0.0037980339588918675,0.015454545454545455
16,0.004021447721179625,0.017454545454545455
17,0.003351206434316354,0.015454545454545453
18,0.0035746201966041107,0.017454545454545455
19,0.003127792672028597,0.01612121212121212
20,0.0013404825737265416,0.007272727272727273
21,0.0011170688114387846,0.006363636363636364
22,0.0017873100983020554,0.010666666666666666
23,0.0017873100983020554,0.011151515151515152
24,0.0006702412868632708,0.004363636363636363
25,0.0015638963360142986,0.010606060606060607
26,0.0011170688114387846,0.00787878787878788
27,0.0008936550491510277,0.006545454545454545
28,0.00044682752457551384,0.003393939393939394
29,0.0015638963360142986,0.012303030303030302
30,0.0011170688114387846,0.00909090909090909
31,0.0013404825737265416,0.011272727272727273
32,0.00044682752457551384,0.0038787878787878787
33,0.0006702412868632708,0.006
34,0.0013404825737265416,0.012363636363636363
35,0.0015638963360142986,0.01484848484848485
36,0.0006702412868632708,0.006545454545454545
38,0.00044682752457551384,0.004606060606060606
39,0.00022341376228775692,0.0023636363636363638
41,0.00022341376228775692,0.0024848484848484847
44,0.00044682752457551384,0.005333333333333333
45,0.0006702412868632708,0.008181818181818182
46,0.00022341376228775692,0.002787878787878788
47,0.00022341376228775692,0.0028484848484848484
48,0.00022341376228775692,0.002909090909090909
50,0.0006702412868632708,0.00909090909090909
54,0.00022341376228775692,0.0032727272727272726
55,0.00022341376228775692,0.0033333333333333335
56,0.00022341376228775692,0.003393939393939394
57,0.00022341376228775692,0.0034545454545454545
58,0.00022341376228775692,0.003515151515151515
59,0.00022341376228775692,0.003575757575757576
61,0.00022341376228775692,0.003696969696969697
62,0.00044682752457551384,0.0075151515151515155
63,0.00022341376228775692,0.0038181818181818182
66,0.00044682752457551384,0.008
67,0.00044682752457551384,0.008121212121212121
68,0.00022341376228775692,0.004121212121212121
70,0.00022341376228775692,0.004242424242424243
73,0.00022341376228775692,0.004424242424242424
77,0.00022341376228775692,0.004666666666666667
80,0.00022341376228775692,0.0048484848484848485
82,0.00022341376228775692,0.004969696969696969
93,0.00044682752457551384,0.011272727272727273
