Total clusters, 26

Cluster Index, 1
Size, 3
poly_A, 1
poly_B, 2

Cluster Index, 2
Size, 13
poly_A, 7
poly_B, 6

Cluster Index, 3
Size, 3
poly_A, 2
poly_B, 1

Cluster Index, 4
Size, 4
poly_A, 1
poly_B, 3

Cluster Index, 5
Size, 4
poly_A, 2
poly_B, 2

Cluster Index, 8
Size, 5
poly_A, 2
poly_B, 3

Cluster Index, 9
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 10
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 11
Size, 5
poly_A, 2
poly_B, 3

Cluster Index, 14
Size, 2
poly_A, 1
poly_B, 1

Cluster Index, 19
Size, 2
poly_A, 1
poly_B, 1

