Cluster size,frequency,foTM
1,0.8028821410190428,0.52
2,0.052839252015783156,0.06844444444444445
3,0.06570595299365242,0.12766666666666665
4,0.03860010293360782,0.1
5,0.014582261108251844,0.04722222222222222
6,0.007376908560645051,0.028666666666666667
7,0.0051466803911477095,0.02333333333333333
8,0.003259564247726883,0.01688888888888889
9,0.0034311202607651397,0.02
10,0.002058672156459084,0.013333333333333332
11,0.0017155601303825698,0.012222222222222221
12,0.000514668039114771,0.004
13,0.000514668039114771,0.004333333333333333
14,0.00034311202607651396,0.003111111111111111
15,0.000514668039114771,0.005
17,0.00034311202607651396,0.003777777777777778
18,0.00017155601303825698,0.002
