Cluster size,frequency,foTM
1,0.5518072289156627,0.2748
2,0.23427041499330656,0.23333333333333334
3,0.09103078982597054,0.136
4,0.04738955823293173,0.0944
5,0.02971887550200803,0.074
6,0.014457831325301205,0.0432
7,0.012315930388219544,0.04293333333333333
8,0.004819277108433735,0.019200000000000002
9,0.004016064257028112,0.018
10,0.00214190093708166,0.010666666666666666
11,0.0034805890227576973,0.019066666666666666
12,0.00107095046854083,0.0064
14,0.000535475234270415,0.0037333333333333333
15,0.00107095046854083,0.008
16,0.000535475234270415,0.004266666666666667
17,0.0008032128514056225,0.0068000000000000005
19,0.0002677376171352075,0.002533333333333333
20,0.0002677376171352075,0.0026666666666666666
