# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 1.0500e+02 1.0500e+02 0.0000e+00 0.0000e+00
1.0000e+00 1.9680e+01 1.4200e+01 4.6624e+00 2.9933e+00
2.0000e+00 1.3680e+01 8.6800e+00 2.9762e+00 2.1113e+00
3.0000e+00 1.2600e+01 7.6400e+00 2.5612e+00 2.1332e+00
4.0000e+00 1.1480e+01 7.8000e+00 3.0610e+00 2.8425e+00
5.0000e+00 1.1040e+01 6.1200e+00 2.5374e+00 1.8181e+00
6.0000e+00 1.0240e+01 6.6800e+00 2.6120e+00 1.4621e+00
7.0000e+00 1.0920e+01 6.2800e+00 3.4400e+00 2.4580e+00
8.0000e+00 1.1600e+01 6.5600e+00 2.7713e+00 2.2642e+00
9.0000e+00 1.0040e+01 5.7600e+00 3.3880e+00 1.9242e+00
1.0000e+01 1.1000e+01 5.5600e+00 1.4422e+00 3.0605e+00
1.1000e+01 1.1080e+01 5.9200e+00 2.4645e+00 1.8745e+00
1.2000e+01 1.0400e+01 5.7600e+00 2.9394e+00 1.7727e+00
1.3000e+01 1.0400e+01 6.3600e+00 3.0725e+00 2.1332e+00
1.4000e+01 1.0040e+01 5.4400e+00 2.9186e+00 2.2642e+00
1.5000e+01 1.0760e+01 6.3600e+00 2.8040e+00 2.1518e+00
1.6000e+01 1.0640e+01 5.6800e+00 2.8267e+00 1.9742e+00
1.7000e+01 1.0600e+01 6.2800e+00 3.1749e+00 1.8659e+00
1.8000e+01 1.1360e+01 6.4000e+00 2.4475e+00 2.3495e+00
1.9000e+01 1.1320e+01 5.9200e+00 3.2090e+00 2.6521e+00
2.0000e+01 9.4800e+00 5.8400e+00 3.0740e+00 2.3779e+00
2.1000e+01 1.0160e+01 5.2000e+00 2.3096e+00 2.6230e+00
2.2000e+01 1.1520e+01 5.4800e+00 2.9274e+00 2.7147e+00
2.3000e+01 1.0280e+01 5.5200e+00 2.9465e+00 2.3515e+00
2.4000e+01 9.8800e+00 5.8400e+00 2.5972e+00 2.1667e+00
2.5000e+01 1.1000e+01 5.6400e+00 2.8284e+00 2.0373e+00
2.6000e+01 9.5200e+00 5.5200e+00 2.8722e+00 1.8137e+00
2.7000e+01 9.4400e+00 5.0400e+00 2.7580e+00 1.7545e+00
2.8000e+01 1.0240e+01 5.0800e+00 2.6272e+00 1.5471e+00
2.9000e+01 1.0520e+01 6.0800e+00 2.8442e+00 2.4645e+00
3.0000e+01 9.4400e+00 6.0400e+00 2.5311e+00 2.2888e+00
3.1000e+01 1.0600e+01 6.5200e+00 2.6077e+00 2.4677e+00
3.2000e+01 1.0320e+01 6.0800e+00 2.5095e+00 2.3481e+00
3.3000e+01 9.6000e+00 5.8400e+00 2.5923e+00 2.4443e+00
3.4000e+01 1.0360e+01 5.6000e+00 2.6211e+00 2.1166e+00
3.5000e+01 9.8800e+00 5.5600e+00 2.9027e+00 1.9200e+00
3.6000e+01 9.3200e+00 5.1200e+00 2.6187e+00 1.8400e+00
3.7000e+01 1.0800e+01 6.8000e+00 3.2000e+00 2.2627e+00
3.8000e+01 1.0520e+01 5.9200e+00 3.3600e+00 2.0183e+00
3.9000e+01 1.0760e+01 5.6000e+00 3.0891e+00 2.0199e+00
4.0000e+01 1.0280e+01 5.2800e+00 2.2185e+00 1.8872e+00
4.1000e+01 9.9200e+00 5.8400e+00 2.6218e+00 2.3440e+00
4.2000e+01 1.1320e+01 5.4400e+00 2.7672e+00 2.2464e+00
4.3000e+01 1.0120e+01 5.9200e+00 2.6126e+00 1.9167e+00
4.4000e+01 9.5600e+00 5.4800e+00 2.9268e+00 2.4020e+00
4.5000e+01 1.0520e+01 6.3200e+00 2.4999e+00 2.3276e+00
4.6000e+01 1.0560e+01 5.8800e+00 2.6845e+00 2.6731e+00
4.7000e+01 1.0760e+01 4.6400e+00 3.2897e+00 1.6463e+00
4.8000e+01 1.0960e+01 6.6800e+00 3.1935e+00 2.1113e+00
4.9000e+01 9.5600e+00 5.9600e+00 3.0077e+00 2.1257e+00
5.0000e+01 1.0680e+01 5.5600e+00 2.1302e+00 2.1369e+00
