# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 9.0000e+01 7.5000e+01 0.0000e+00 0.0000e+00
1.0000e+00 2.3480e+01 1.1720e+01 2.8999e+00 2.0302e+00
2.0000e+00 1.7200e+01 7.6800e+00 2.7276e+00 1.9333e+00
3.0000e+00 1.5960e+01 6.2400e+00 3.1302e+00 2.7463e+00
4.0000e+00 1.4640e+01 5.5200e+00 2.7405e+00 1.9208e+00
5.0000e+00 1.4280e+01 5.3600e+00 2.6611e+00 2.5594e+00
6.0000e+00 1.3480e+01 4.7200e+00 2.6095e+00 2.3241e+00
7.0000e+00 1.3720e+01 6.0400e+00 3.0400e+00 2.4410e+00
8.0000e+00 1.3800e+01 5.3200e+00 3.0594e+00 1.8702e+00
9.0000e+00 1.2720e+01 4.4400e+00 2.7498e+00 1.8348e+00
1.0000e+01 1.2680e+01 4.8400e+00 3.4026e+00 1.5920e+00
1.1000e+01 1.2000e+01 4.6400e+00 3.0199e+00 1.9976e+00
1.2000e+01 1.2920e+01 4.5200e+00 2.7411e+00 2.3344e+00
1.3000e+01 1.3160e+01 4.3600e+00 2.4278e+00 2.0175e+00
1.4000e+01 1.2120e+01 4.1200e+00 2.7759e+00 2.3034e+00
1.5000e+01 1.3320e+01 5.0800e+00 3.2090e+00 2.4153e+00
1.6000e+01 1.2120e+01 4.3200e+00 3.1154e+00 1.6904e+00
1.7000e+01 1.2960e+01 4.2400e+00 2.8911e+00 1.6070e+00
1.8000e+01 1.3480e+01 4.1600e+00 3.2388e+00 1.8040e+00
1.9000e+01 1.3000e+01 5.0800e+00 3.6332e+00 2.5443e+00
2.0000e+01 1.3680e+01 4.5200e+00 3.0818e+00 2.1748e+00
2.1000e+01 1.2720e+01 4.4000e+00 3.5499e+00 2.1726e+00
2.2000e+01 1.2920e+01 4.4000e+00 2.8273e+00 1.3856e+00
2.3000e+01 1.2000e+01 4.2800e+00 2.3152e+00 2.0498e+00
2.4000e+01 1.1600e+01 5.0000e+00 2.5923e+00 1.8974e+00
2.5000e+01 1.2840e+01 4.6000e+00 2.9076e+00 1.7205e+00
2.6000e+01 1.3960e+01 4.4000e+00 3.5381e+00 2.3324e+00
2.7000e+01 1.3880e+01 4.7200e+00 2.9164e+00 2.6309e+00
2.8000e+01 1.3040e+01 4.6400e+00 3.1683e+00 2.3474e+00
2.9000e+01 1.2520e+01 4.7200e+00 2.6248e+00 1.6857e+00
3.0000e+01 1.1880e+01 3.9600e+00 2.9976e+00 1.7545e+00
3.1000e+01 1.1960e+01 4.0400e+00 3.0395e+00 1.8864e+00
3.2000e+01 1.2960e+01 3.7200e+00 2.9459e+00 2.1637e+00
3.3000e+01 1.2400e+01 3.8000e+00 2.8566e+00 1.8330e+00
3.4000e+01 1.2680e+01 4.1600e+00 3.2462e+00 1.7362e+00
3.5000e+01 1.1960e+01 4.5600e+00 2.3406e+00 1.7682e+00
3.6000e+01 1.1680e+01 4.2800e+00 2.5725e+00 1.6857e+00
3.7000e+01 1.2520e+01 3.8400e+00 3.1128e+00 1.7130e+00
3.8000e+01 1.2400e+01 3.9600e+00 2.6833e+00 1.6848e+00
3.9000e+01 1.2640e+01 4.6400e+00 3.9787e+00 2.2782e+00
4.0000e+01 1.2600e+01 4.4800e+00 3.1113e+00 1.6762e+00
4.1000e+01 1.2560e+01 4.9600e+00 2.9810e+00 2.1814e+00
4.2000e+01 1.2720e+01 4.2400e+00 3.5273e+00 1.5819e+00
4.3000e+01 1.2080e+01 3.8000e+00 2.5756e+00 1.8547e+00
4.4000e+01 1.3000e+01 4.4000e+00 2.7568e+00 1.6000e+00
4.5000e+01 1.2760e+01 4.5600e+00 2.7171e+00 1.8348e+00
4.6000e+01 1.1920e+01 3.8400e+00 3.3457e+00 1.9325e+00
4.7000e+01 1.2440e+01 4.3200e+00 2.6394e+00 1.8702e+00
4.8000e+01 1.2360e+01 4.0000e+00 2.6364e+00 1.6492e+00
4.9000e+01 1.2120e+01 4.6000e+00 3.0636e+00 2.1541e+00
5.0000e+01 1.1360e+01 4.5200e+00 2.6515e+00 2.1563e+00
