# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 6.0000e+01 9.0000e+01 0.0000e+00 0.0000e+00
1.0000e+00 1.4600e+01 3.0480e+01 2.1909e+00 3.0479e+00
2.0000e+00 1.2080e+01 2.4120e+01 3.2239e+00 4.4481e+00
3.0000e+00 9.6800e+00 2.0680e+01 3.1460e+00 3.6848e+00
4.0000e+00 9.0000e+00 2.0680e+01 1.8330e+00 3.1714e+00
5.0000e+00 9.2000e+00 1.9920e+01 2.5612e+00 3.3457e+00
6.0000e+00 9.4400e+00 1.9600e+01 2.2464e+00 3.5440e+00
7.0000e+00 9.0000e+00 1.8720e+01 2.0396e+00 3.1179e+00
8.0000e+00 8.6400e+00 1.9800e+01 3.1985e+00 4.1665e+00
9.0000e+00 8.4000e+00 1.8680e+01 2.3324e+00 4.0172e+00
1.0000e+01 8.6000e+00 1.7320e+01 1.8111e+00 3.3552e+00
1.1000e+01 8.8800e+00 1.8920e+01 2.1226e+00 3.4049e+00
1.2000e+01 9.3200e+00 1.7640e+01 1.3775e+00 3.7723e+00
1.3000e+01 8.8000e+00 1.7800e+01 2.4658e+00 3.0199e+00
1.4000e+01 8.3200e+00 1.7760e+01 1.8915e+00 3.1910e+00
1.5000e+01 8.0000e+00 1.6920e+01 1.9391e+00 3.6978e+00
1.6000e+01 8.2000e+00 1.8520e+01 2.5923e+00 4.0112e+00
1.7000e+01 8.7600e+00 1.8760e+01 3.0500e+00 4.1788e+00
1.8000e+01 8.4000e+00 1.7640e+01 2.9665e+00 3.7935e+00
1.9000e+01 7.9200e+00 1.8320e+01 2.6370e+00 2.7672e+00
2.0000e+01 7.2000e+00 1.6720e+01 1.9183e+00 2.9735e+00
2.1000e+01 8.2800e+00 1.8160e+01 2.3069e+00 3.8124e+00
2.2000e+01 8.6000e+00 1.8960e+01 2.2627e+00 3.7038e+00
2.3000e+01 9.0800e+00 1.9320e+01 2.2257e+00 3.8337e+00
2.4000e+01 8.6400e+00 1.9160e+01 2.0175e+00 3.0289e+00
2.5000e+01 8.9200e+00 1.8440e+01 3.0189e+00 3.8479e+00
2.6000e+01 8.2400e+00 1.7800e+01 2.4212e+00 3.6986e+00
2.7000e+01 9.2400e+00 1.8080e+01 1.9448e+00 3.7408e+00
2.8000e+01 8.6000e+00 1.6840e+01 1.7205e+00 2.9486e+00
2.9000e+01 8.7600e+00 1.7280e+01 2.1960e+00 2.8778e+00
3.0000e+01 8.6800e+00 1.7240e+01 1.6424e+00 2.8182e+00
3.1000e+01 8.6000e+00 1.7800e+01 2.2450e+00 3.6551e+00
3.2000e+01 7.6000e+00 1.7760e+01 1.6971e+00 2.7609e+00
3.3000e+01 8.5200e+00 1.7080e+01 2.2293e+00 3.1486e+00
3.4000e+01 8.3200e+00 1.7440e+01 2.5569e+00 4.0898e+00
3.5000e+01 9.0400e+00 1.8720e+01 2.1814e+00 3.5611e+00
3.6000e+01 9.5200e+00 1.9600e+01 2.3685e+00 3.4409e+00
3.7000e+01 8.9600e+00 1.7160e+01 2.5843e+00 3.4604e+00
3.8000e+01 8.6400e+00 1.8080e+01 2.3303e+00 4.0686e+00
3.9000e+01 8.8400e+00 1.9040e+01 2.8800e+00 3.2555e+00
4.0000e+01 8.8400e+00 1.8080e+01 3.0289e+00 3.7833e+00
4.1000e+01 8.2800e+00 1.7480e+01 2.2185e+00 3.0215e+00
4.2000e+01 8.8800e+00 1.7240e+01 2.0846e+00 3.4209e+00
4.3000e+01 9.6000e+00 1.7840e+01 2.5612e+00 3.3428e+00
4.4000e+01 9.3600e+00 1.8200e+01 2.4638e+00 2.6981e+00
4.5000e+01 8.9200e+00 1.8280e+01 2.4482e+00 4.7877e+00
4.6000e+01 9.1600e+00 1.7880e+01 2.0915e+00 3.0109e+00
4.7000e+01 8.0400e+00 1.8240e+01 2.8911e+00 4.4836e+00
4.8000e+01 8.4000e+00 1.9080e+01 2.2450e+00 3.2732e+00
4.9000e+01 8.1600e+00 1.8360e+01 2.7522e+00 3.5313e+00
5.0000e+01 9.4400e+00 1.8520e+01 3.1379e+00 3.6564e+00
