Cluster size,frequency,foTM
1,0.8722689075630252,0.615111111111111
2,0.01838235294117647,0.025925925925925925
3,0.03897058823529412,0.08244444444444445
4,0.03308823529411765,0.09333333333333334
5,0.016176470588235296,0.05703703703703703
6,0.005357142857142857,0.02266666666666667
7,0.004516806722689076,0.022296296296296297
8,0.003781512605042017,0.021333333333333333
9,0.0025210084033613447,0.016
10,0.0014705882352941176,0.01037037037037037
11,0.0012605042016806723,0.009777777777777778
12,0.0004201680672268908,0.0035555555555555557
13,0.0003151260504201681,0.0028888888888888888
14,0.0001050420168067227,0.001037037037037037
15,0.0006302521008403362,0.006666666666666666
16,0.0002100840336134454,0.0023703703703703703
17,0.0001050420168067227,0.0012592592592592592
19,0.0001050420168067227,0.0014074074074074073
20,0.0002100840336134454,0.002962962962962963
21,0.0001050420168067227,0.0015555555555555555
