# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 9.0000e+01 6.0000e+01 0.0000e+00 0.0000e+00
1.0000e+00 3.2360e+01 8.7600e+00 2.7259e+00 2.8605e+00
2.0000e+00 2.7760e+01 5.8800e+00 4.2264e+00 1.8400e+00
3.0000e+00 2.6320e+01 4.8000e+00 3.2214e+00 1.5232e+00
4.0000e+00 2.4280e+01 4.0400e+00 3.0662e+00 1.3705e+00
5.0000e+00 2.2480e+01 3.3600e+00 4.3462e+00 1.9976e+00
6.0000e+00 2.3480e+01 3.4400e+00 3.6124e+00 2.0800e+00
7.0000e+00 2.2440e+01 3.7600e+00 3.5109e+00 1.8821e+00
8.0000e+00 2.3360e+01 3.6800e+00 3.2481e+00 2.0143e+00
9.0000e+00 2.2720e+01 3.0400e+00 3.5386e+00 1.7316e+00
1.0000e+01 2.2080e+01 3.2400e+00 3.3457e+00 1.6070e+00
1.1000e+01 2.1800e+01 3.7200e+00 3.4176e+00 1.6129e+00
1.2000e+01 2.1280e+01 3.4000e+00 3.5499e+00 1.8111e+00
1.3000e+01 2.2960e+01 2.9600e+00 3.5831e+00 1.5094e+00
1.4000e+01 2.2000e+01 2.8800e+00 2.5612e+00 1.8400e+00
1.5000e+01 2.2480e+01 2.9600e+00 3.9102e+00 1.4827e+00
1.6000e+01 2.2280e+01 3.2400e+00 2.9600e+00 1.8391e+00
1.7000e+01 2.3440e+01 3.0000e+00 3.3951e+00 1.5232e+00
1.8000e+01 2.2760e+01 2.8400e+00 3.4558e+00 1.6895e+00
1.9000e+01 2.3400e+01 3.5600e+00 2.9665e+00 1.8348e+00
2.0000e+01 2.1760e+01 3.3600e+00 3.7766e+00 1.7408e+00
2.1000e+01 2.1360e+01 3.0000e+00 2.9104e+00 1.9596e+00
2.2000e+01 2.1520e+01 3.1600e+00 2.5475e+00 1.4610e+00
2.3000e+01 2.2480e+01 3.4800e+00 3.0479e+00 1.8356e+00
2.4000e+01 2.1160e+01 3.1600e+00 3.2333e+00 1.7362e+00
2.5000e+01 2.3000e+01 3.0400e+00 3.5440e+00 1.6120e+00
2.6000e+01 2.1240e+01 2.4800e+00 2.8465e+00 1.3303e+00
2.7000e+01 2.1040e+01 2.5600e+00 3.8312e+00 1.6268e+00
2.8000e+01 2.1080e+01 2.8800e+00 2.3987e+00 1.5829e+00
2.9000e+01 2.2160e+01 3.4800e+00 3.4719e+00 1.7233e+00
3.0000e+01 2.2240e+01 2.6800e+00 2.5966e+00 1.5930e+00
3.1000e+01 2.3000e+01 3.0000e+00 3.3106e+00 1.4422e+00
3.2000e+01 2.1920e+01 3.5200e+00 2.3481e+00 1.2040e+00
3.3000e+01 2.3280e+01 3.1600e+00 3.2683e+00 1.6169e+00
3.4000e+01 2.2880e+01 2.7200e+00 3.2412e+00 1.5880e+00
3.5000e+01 2.2200e+01 2.7200e+00 3.6661e+00 1.4566e+00
3.6000e+01 2.1720e+01 3.1600e+00 2.9328e+00 1.8906e+00
3.7000e+01 2.2240e+01 3.4400e+00 3.8604e+00 2.0800e+00
3.8000e+01 2.1120e+01 2.7200e+00 3.5363e+00 1.7093e+00
3.9000e+01 2.3320e+01 3.4400e+00 3.3433e+00 1.6512e+00
4.0000e+01 2.1760e+01 2.8000e+00 2.9568e+00 1.4422e+00
4.1000e+01 2.3520e+01 3.0000e+00 3.8587e+00 1.6971e+00
4.2000e+01 2.3240e+01 2.9200e+00 3.1910e+00 1.5980e+00
4.3000e+01 2.2080e+01 2.9200e+00 3.1739e+00 1.1634e+00
4.4000e+01 2.2120e+01 3.3600e+00 3.4793e+00 1.3529e+00
4.5000e+01 2.2200e+01 2.8800e+00 3.5100e+00 1.8616e+00
4.6000e+01 2.1600e+01 3.1600e+00 3.3106e+00 1.5920e+00
4.7000e+01 2.2280e+01 3.1200e+00 3.7685e+00 1.5829e+00
4.8000e+01 2.2120e+01 2.8800e+00 3.2658e+00 1.5574e+00
4.9000e+01 2.1600e+01 2.3600e+00 2.3833e+00 1.3822e+00
5.0000e+01 2.2160e+01 2.7600e+00 3.1960e+00 1.6070e+00
