# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 4.5000e+01 4.5000e+01 0.0000e+00 0.0000e+00
1.0000e+00 1.7080e+01 1.6600e+01 3.2732e+00 3.0725e+00
2.0000e+00 1.2440e+01 1.2640e+01 2.5625e+00 2.7259e+00
3.0000e+00 1.1440e+01 1.1000e+01 2.5781e+00 2.8844e+00
4.0000e+00 9.8000e+00 9.7200e+00 2.2978e+00 1.9083e+00
5.0000e+00 9.0800e+00 9.0000e+00 2.2964e+00 2.8983e+00
6.0000e+00 8.0800e+00 9.2400e+00 2.2613e+00 2.4377e+00
7.0000e+00 7.5600e+00 8.7600e+00 2.3678e+00 2.2321e+00
8.0000e+00 8.3600e+00 8.4000e+00 2.2606e+00 2.7713e+00
9.0000e+00 8.1200e+00 8.4400e+00 2.4710e+00 2.5311e+00
1.0000e+01 8.2000e+00 8.7600e+00 2.5140e+00 2.2500e+00
1.1000e+01 8.0400e+00 8.1600e+00 1.9489e+00 2.1105e+00
1.2000e+01 8.2400e+00 9.0000e+00 2.6875e+00 2.9394e+00
1.3000e+01 7.4400e+00 8.3600e+00 2.0607e+00 2.1332e+00
1.4000e+01 8.1200e+00 7.4400e+00 2.2328e+00 2.2285e+00
1.5000e+01 7.7200e+00 7.8000e+00 2.3241e+00 2.2978e+00
1.6000e+01 7.6800e+00 7.7600e+00 1.8487e+00 2.4864e+00
1.7000e+01 8.0000e+00 7.9200e+00 2.6683e+00 2.4153e+00
1.8000e+01 7.4800e+00 7.5600e+00 2.2293e+00 2.3846e+00
1.9000e+01 7.3200e+00 8.1200e+00 1.8702e+00 2.2149e+00
2.0000e+01 7.5200e+00 8.1600e+00 2.4999e+00 2.0136e+00
2.1000e+01 8.1600e+00 8.1600e+00 2.9350e+00 2.7376e+00
2.2000e+01 7.4400e+00 7.5200e+00 2.3338e+00 2.5941e+00
2.3000e+01 8.2800e+00 8.0800e+00 2.6910e+00 2.1526e+00
2.4000e+01 7.4800e+00 8.2800e+00 1.9620e+00 2.1264e+00
2.5000e+01 7.7200e+00 8.4000e+00 2.8638e+00 2.6683e+00
2.6000e+01 6.8400e+00 7.9200e+00 1.6895e+00 1.8093e+00
2.7000e+01 7.9600e+00 7.5600e+00 3.2432e+00 2.9540e+00
2.8000e+01 8.4800e+00 7.6800e+00 2.5317e+00 2.6791e+00
2.9000e+01 7.0800e+00 8.3200e+00 2.0380e+00 2.2400e+00
3.0000e+01 7.6800e+00 8.0000e+00 2.6187e+00 1.7664e+00
3.1000e+01 7.1200e+00 7.8800e+00 2.0846e+00 2.1967e+00
3.2000e+01 6.9200e+00 7.6000e+00 2.3987e+00 2.1541e+00
3.3000e+01 6.8800e+00 7.6400e+00 2.2328e+00 2.6515e+00
3.4000e+01 6.3600e+00 7.8000e+00 1.7408e+00 2.3324e+00
3.5000e+01 7.1200e+00 8.2000e+00 1.9661e+00 2.0199e+00
3.6000e+01 6.8800e+00 7.9200e+00 2.3718e+00 1.5728e+00
3.7000e+01 7.4800e+00 8.4400e+00 2.2825e+00 2.0412e+00
3.8000e+01 8.3600e+00 8.6400e+00 2.2782e+00 2.3813e+00
3.9000e+01 7.4800e+00 8.0400e+00 2.0999e+00 2.4897e+00
4.0000e+01 7.5200e+00 8.1600e+00 2.0999e+00 2.5248e+00
4.1000e+01 7.4400e+00 8.0400e+00 2.2105e+00 1.7996e+00
4.2000e+01 8.0400e+00 8.2400e+00 2.1257e+00 2.6575e+00
4.3000e+01 7.0800e+00 7.8400e+00 2.4806e+00 1.8906e+00
4.4000e+01 7.8000e+00 8.1600e+00 2.0199e+00 2.4113e+00
4.5000e+01 7.8400e+00 8.2400e+00 2.1294e+00 1.9653e+00
4.6000e+01 8.0400e+00 8.0400e+00 2.4080e+00 2.8068e+00
4.7000e+01 7.4000e+00 8.5200e+00 2.0000e+00 2.0420e+00
4.8000e+01 7.8800e+00 7.8000e+00 2.3379e+00 1.8330e+00
4.9000e+01 7.4400e+00 7.2000e+00 2.3846e+00 2.2627e+00
5.0000e+01 7.7600e+00 7.8400e+00 2.0056e+00 2.2747e+00
