# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 3.0000e+01 4.5000e+01 0.0000e+00 0.0000e+00
1.0000e+00 1.0760e+01 2.3520e+01 2.4541e+00 3.4190e+00
2.0000e+00 7.9600e+00 1.9280e+01 2.3062e+00 2.8358e+00
3.0000e+00 6.7200e+00 1.7680e+01 1.8872e+00 2.5725e+00
4.0000e+00 5.6400e+00 1.5520e+01 1.7408e+00 3.1256e+00
5.0000e+00 5.1200e+00 1.6040e+01 2.0846e+00 3.1683e+00
6.0000e+00 4.8000e+00 1.5000e+01 1.7889e+00 2.8284e+00
7.0000e+00 4.0400e+00 1.3680e+01 1.7545e+00 2.6187e+00
8.0000e+00 4.4800e+00 1.4240e+01 1.6030e+00 3.3380e+00
9.0000e+00 4.5200e+00 1.4360e+01 1.7233e+00 2.7259e+00
1.0000e+01 4.8800e+00 1.4320e+01 1.6810e+00 2.2221e+00
1.1000e+01 4.5200e+00 1.4760e+01 1.7691e+00 2.5184e+00
1.2000e+01 4.4000e+00 1.4040e+01 2.2978e+00 3.3164e+00
1.3000e+01 4.2000e+00 1.3760e+01 1.7436e+00 2.6725e+00
1.4000e+01 4.4800e+00 1.4000e+01 1.4730e+00 2.1726e+00
1.5000e+01 4.4800e+00 1.3440e+01 1.4999e+00 3.0735e+00
1.6000e+01 5.2000e+00 1.3400e+01 1.9183e+00 2.8142e+00
1.7000e+01 5.2400e+00 1.4360e+01 2.1407e+00 2.9378e+00
1.8000e+01 4.6400e+00 1.4320e+01 1.9158e+00 2.5725e+00
1.9000e+01 4.5200e+00 1.4440e+01 1.6278e+00 2.6695e+00
2.0000e+01 3.8400e+00 1.4080e+01 1.5667e+00 2.2076e+00
2.1000e+01 4.5200e+00 1.3320e+01 1.8137e+00 2.7817e+00
2.2000e+01 4.3200e+00 1.4520e+01 1.7371e+00 2.6701e+00
2.3000e+01 4.2800e+00 1.3400e+01 1.7781e+00 2.2804e+00
2.4000e+01 4.4400e+00 1.2840e+01 2.1740e+00 1.9325e+00
2.5000e+01 4.4400e+00 1.3440e+01 1.3291e+00 2.5625e+00
2.6000e+01 4.8400e+00 1.3360e+01 1.7817e+00 2.9783e+00
2.7000e+01 4.3600e+00 1.3200e+01 2.0568e+00 2.7568e+00
2.8000e+01 4.0400e+00 1.3600e+01 1.5615e+00 2.1541e+00
2.9000e+01 4.3200e+00 1.3000e+01 1.4892e+00 2.3664e+00
3.0000e+01 4.2000e+00 1.3280e+01 1.3266e+00 2.1264e+00
3.1000e+01 4.2400e+00 1.3680e+01 1.5041e+00 2.8245e+00
3.2000e+01 4.6000e+00 1.3480e+01 1.6492e+00 3.3837e+00
3.3000e+01 4.2000e+00 1.3280e+01 1.5492e+00 2.9735e+00
3.4000e+01 3.9200e+00 1.3800e+01 1.5211e+00 2.7713e+00
3.5000e+01 4.2000e+00 1.3640e+01 1.9596e+00 3.2727e+00
3.6000e+01 3.6000e+00 1.3560e+01 1.3856e+00 2.3508e+00
3.7000e+01 4.1600e+00 1.3920e+01 1.6415e+00 2.5911e+00
3.8000e+01 3.8000e+00 1.4000e+01 2.0591e+00 2.6382e+00
3.9000e+01 4.1200e+00 1.3400e+01 1.5315e+00 2.4819e+00
4.0000e+01 3.8400e+00 1.3000e+01 1.2225e+00 2.5923e+00
4.1000e+01 4.1200e+00 1.3920e+01 1.7279e+00 2.1711e+00
4.2000e+01 3.8400e+00 1.3720e+01 1.4610e+00 2.6761e+00
4.3000e+01 4.2400e+00 1.4200e+01 1.9448e+00 2.4000e+00
4.4000e+01 4.4000e+00 1.4760e+01 1.8111e+00 2.4377e+00
4.5000e+01 5.2800e+00 1.3760e+01 2.0498e+00 2.6120e+00
4.6000e+01 4.4000e+00 1.3920e+01 2.0000e+00 2.4645e+00
4.7000e+01 4.6000e+00 1.3640e+01 1.6971e+00 2.1143e+00
4.8000e+01 4.4400e+00 1.4120e+01 1.6020e+00 3.0109e+00
4.9000e+01 4.2400e+00 1.4000e+01 1.8608e+00 2.4166e+00
5.0000e+01 4.9200e+00 1.3800e+01 1.8745e+00 3.0199e+00
