Cluster size,frequency,foTM
1,0.4780106257378985,0.1661025641025641
2,0.22771546635183,0.15825641025641024
3,0.089728453364817,0.09353846153846154
4,0.055342384887839435,0.07692307692307691
5,0.03778040141676505,0.06564102564102564
6,0.02257969303423849,0.04707692307692308
7,0.0172668240850059,0.042
8,0.012101534828807556,0.03364102564102564
9,0.00988783943329398,0.03092307692307692
10,0.009149940968122786,0.031794871794871796
11,0.006936245572609209,0.02651282051282051
12,0.005017709563164109,0.020923076923076923
13,0.0038370720188902006,0.017333333333333333
14,0.003246753246753247,0.015794871794871795
15,0.0022136953955135775,0.011538461538461539
16,0.0022136953955135775,0.012307692307692308
17,0.0017709563164108619,0.010461538461538461
18,0.0023612750885478157,0.014769230769230769
19,0.0016233766233766235,0.01071794871794872
20,0.0013282172373081465,0.00923076923076923
21,0.0007378984651711924,0.005384615384615384
22,0.0016233766233766235,0.01241025641025641
23,0.0007378984651711924,0.005897435897435898
24,0.00029515938606847696,0.0024615384615384616
25,0.00029515938606847696,0.002564102564102564
26,0.00044273907910271547,0.004
27,0.0008854781582054309,0.008307692307692308
28,0.00014757969303423848,0.001435897435897436
29,0.0005903187721369539,0.005948717948717949
30,0.0005903187721369539,0.006153846153846154
31,0.00029515938606847696,0.0031794871794871794
32,0.00029515938606847696,0.003282051282051282
33,0.00014757969303423848,0.0016923076923076924
34,0.00044273907910271547,0.005230769230769231
35,0.00014757969303423848,0.0017948717948717949
37,0.00044273907910271547,0.005692307692307692
38,0.00044273907910271547,0.005846153846153846
41,0.00014757969303423848,0.0021025641025641025
42,0.00014757969303423848,0.0021538461538461538
45,0.00014757969303423848,0.002307692307692308
47,0.00014757969303423848,0.0024102564102564104
49,0.00014757969303423848,0.002512820512820513
52,0.00014757969303423848,0.0026666666666666666
57,0.00014757969303423848,0.002923076923076923
59,0.00014757969303423848,0.0030256410256410257
61,0.00014757969303423848,0.003128205128205128
