Cluster size,frequency,foTM
1,0.6247619047619047,0.38266666666666665
2,0.2361904761904762,0.28933333333333333
3,0.07673469387755102,0.14100000000000001
4,0.038639455782312926,0.09466666666666666
5,0.008979591836734694,0.0275
6,0.00598639455782313,0.022
7,0.004353741496598639,0.018666666666666668
8,0.0021768707482993197,0.010666666666666666
9,0.0008163265306122449,0.0045000000000000005
10,0.0005442176870748299,0.0033333333333333335
11,0.0005442176870748299,0.0036666666666666666
12,0.00027210884353741496,0.002
