# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 1.5000e+01 4.5000e+01 0.0000e+00 0.0000e+00
1.0000e+00 6.1200e+00 3.3720e+01 1.8616e+00 2.7058e+00
2.0000e+00 4.6800e+00 3.0640e+01 1.7371e+00 2.7112e+00
3.0000e+00 4.3600e+00 2.8360e+01 1.3822e+00 2.2606e+00
4.0000e+00 3.6000e+00 2.7520e+01 1.8330e+00 3.2511e+00
5.0000e+00 3.6400e+00 2.7920e+01 1.2611e+00 2.7265e+00
6.0000e+00 3.2800e+00 2.7400e+01 9.6000e-01 2.6077e+00
7.0000e+00 3.4400e+00 2.7760e+01 1.4988e+00 2.2321e+00
8.0000e+00 3.3600e+00 2.7360e+01 1.6219e+00 2.6364e+00
9.0000e+00 3.6800e+00 2.7800e+01 1.5677e+00 2.6230e+00
1.0000e+01 3.2400e+00 2.7080e+01 1.3351e+00 3.0321e+00
1.1000e+01 2.7600e+00 2.6520e+01 1.6560e+00 3.2015e+00
1.2000e+01 3.3200e+00 2.7040e+01 1.8915e+00 2.9186e+00
1.3000e+01 2.8800e+00 2.6800e+01 1.5052e+00 2.7129e+00
1.4000e+01 3.2400e+00 2.7000e+01 1.6317e+00 2.5923e+00
1.5000e+01 2.8400e+00 2.5960e+01 1.8693e+00 3.2800e+00
1.6000e+01 2.8800e+00 2.6000e+01 2.0064e+00 3.3586e+00
1.7000e+01 2.6800e+00 2.6600e+01 1.8049e+00 3.3705e+00
1.8000e+01 3.0800e+00 2.7360e+01 1.3242e+00 3.2970e+00
1.9000e+01 3.2800e+00 2.7240e+01 1.3422e+00 3.2407e+00
2.0000e+01 3.2000e+00 2.7400e+01 1.3565e+00 3.2000e+00
2.1000e+01 2.8000e+00 2.6720e+01 1.3565e+00 2.8358e+00
2.2000e+01 2.8400e+00 2.6600e+01 1.3764e+00 3.1369e+00
2.3000e+01 3.3600e+00 2.7600e+01 1.8084e+00 3.3466e+00
2.4000e+01 2.8000e+00 2.7680e+01 1.5232e+00 2.3786e+00
2.5000e+01 3.2800e+00 2.7040e+01 1.5880e+00 2.9595e+00
2.6000e+01 3.0000e+00 2.6800e+01 1.3565e+00 2.9799e+00
2.7000e+01 2.8800e+00 2.5760e+01 1.6327e+00 3.6363e+00
2.8000e+01 2.6400e+00 2.6280e+01 1.2611e+00 2.6309e+00
2.9000e+01 2.8000e+00 2.5880e+01 1.1662e+00 2.7759e+00
3.0000e+01 2.9600e+00 2.5920e+01 1.4277e+00 3.3096e+00
3.1000e+01 3.0400e+00 2.6160e+01 1.2484e+00 2.9890e+00
3.2000e+01 3.2400e+00 2.6720e+01 1.7951e+00 3.5386e+00
3.3000e+01 3.0800e+00 2.7000e+01 1.5980e+00 3.2249e+00
3.4000e+01 2.8000e+00 2.7040e+01 1.2329e+00 2.5057e+00
3.5000e+01 2.6800e+00 2.6000e+01 1.3482e+00 3.1749e+00
3.6000e+01 2.3200e+00 2.5200e+01 1.2875e+00 2.8566e+00
3.7000e+01 2.5600e+00 2.6480e+01 1.6989e+00 3.0740e+00
3.8000e+01 2.4000e+00 2.5360e+01 1.2961e+00 2.6815e+00
3.9000e+01 2.2800e+00 2.4800e+01 8.7270e-01 2.7423e+00
4.0000e+01 2.6400e+00 2.5560e+01 1.2290e+00 2.7434e+00
4.1000e+01 2.7200e+00 2.5440e+01 1.4288e+00 2.6845e+00
4.2000e+01 2.5200e+00 2.6280e+01 1.1703e+00 2.5380e+00
4.3000e+01 2.6000e+00 2.6400e+01 1.6000e+00 3.3466e+00
4.4000e+01 2.2000e+00 2.5760e+01 1.1314e+00 2.5342e+00
4.5000e+01 2.2000e+00 2.5440e+01 9.7980e-01 2.6993e+00
4.6000e+01 2.2400e+00 2.5520e+01 1.1758e+00 2.8999e+00
4.7000e+01 2.4800e+00 2.5520e+01 1.2040e+00 2.7586e+00
4.8000e+01 2.9200e+00 2.6600e+01 1.6952e+00 3.1241e+00
4.9000e+01 3.0000e+00 2.6360e+01 1.1314e+00 2.4638e+00
5.0000e+01 2.6400e+00 2.6800e+01 1.4389e+00 2.8705e+00
