Cluster size,frequency,foTM
1,0.5124764595103578,0.18141666666666667
2,0.18620527306967985,0.13183333333333333
3,0.10616760828625235,0.11275
4,0.0532015065913371,0.07533333333333334
5,0.03177966101694915,0.05625
6,0.02283427495291902,0.0485
7,0.017184557438794726,0.042583333333333334
8,0.01012241054613936,0.028666666666666667
9,0.008945386064030132,0.0285
10,0.008709981167608287,0.030833333333333334
11,0.006120527306967985,0.02383333333333333
12,0.006120527306967985,0.026000000000000002
13,0.0049435028248587575,0.02275
14,0.003295668549905838,0.016333333333333335
15,0.0030602636534839923,0.01625
16,0.002824858757062147,0.016
17,0.0014124293785310734,0.0085
18,0.0018832391713747645,0.012
19,0.0009416195856873823,0.006333333333333333
20,0.0011770244821092278,0.008333333333333333
21,0.0014124293785310734,0.0105
22,0.0011770244821092278,0.009166666666666667
23,0.0007062146892655367,0.00575
24,0.0007062146892655367,0.006
25,0.0009416195856873823,0.008333333333333333
26,0.00047080979284369113,0.004333333333333333
28,0.0009416195856873823,0.009333333333333334
29,0.0009416195856873823,0.009666666666666667
30,0.00023540489642184556,0.0025
31,0.00047080979284369113,0.005166666666666667
32,0.00047080979284369113,0.005333333333333333
33,0.00023540489642184556,0.00275
34,0.00023540489642184556,0.0028333333333333335
36,0.00023540489642184556,0.003
37,0.00023540489642184556,0.0030833333333333333
39,0.00023540489642184556,0.00325
40,0.00023540489642184556,0.0033333333333333335
44,0.00023540489642184556,0.0036666666666666666
51,0.00023540489642184556,0.00425
57,0.00023540489642184556,0.00475
