# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 9.0000e+01 7.5000e+01 0.0000e+00 0.0000e+00
1.0000e+00 2.2400e+01 1.3080e+01 4.4091e+00 2.3819e+00
2.0000e+00 1.5320e+01 8.2400e+00 3.7918e+00 2.5812e+00
3.0000e+00 1.4520e+01 7.0000e+00 3.1384e+00 2.7276e+00
4.0000e+00 1.3520e+01 6.0800e+00 3.2756e+00 2.4318e+00
5.0000e+00 1.1800e+01 6.2800e+00 3.7417e+00 2.0884e+00
6.0000e+00 1.3040e+01 5.4000e+00 2.4245e+00 2.9120e+00
7.0000e+00 1.1360e+01 5.8000e+00 3.3332e+00 2.0199e+00
8.0000e+00 1.1200e+01 5.9600e+00 3.0463e+00 2.1444e+00
9.0000e+00 1.1000e+01 5.0800e+00 3.4756e+00 1.5728e+00
1.0000e+01 1.0560e+01 5.0400e+00 2.1556e+00 1.9896e+00
1.1000e+01 1.0640e+01 5.7200e+00 1.8736e+00 2.8498e+00
1.2000e+01 1.1600e+01 4.3200e+00 2.4658e+00 2.0731e+00
1.3000e+01 1.2000e+01 5.2800e+00 2.2091e+00 1.9498e+00
1.4000e+01 1.1360e+01 5.4400e+00 2.9649e+00 2.4179e+00
1.5000e+01 1.0960e+01 5.0400e+00 2.4245e+00 1.7545e+00
1.6000e+01 1.1480e+01 4.3600e+00 2.9681e+00 1.6704e+00
1.7000e+01 1.0400e+01 4.6000e+00 1.8974e+00 1.7889e+00
1.8000e+01 1.0920e+01 5.0000e+00 2.5127e+00 2.2804e+00
1.9000e+01 1.0000e+01 4.8400e+00 2.2271e+00 1.7362e+00
2.0000e+01 9.9600e+00 4.6400e+00 2.7493e+00 1.9366e+00
2.1000e+01 9.9200e+00 5.0000e+00 2.6065e+00 2.8566e+00
2.2000e+01 1.0280e+01 5.2800e+00 2.4903e+00 1.8872e+00
2.3000e+01 1.0520e+01 4.9200e+00 2.4999e+00 2.3819e+00
2.4000e+01 1.0920e+01 4.9600e+00 2.6218e+00 2.3062e+00
2.5000e+01 1.1440e+01 4.6800e+00 3.0605e+00 2.0537e+00
2.6000e+01 1.0160e+01 4.2000e+00 2.0723e+00 1.6733e+00
2.7000e+01 9.8800e+00 4.8400e+00 2.7469e+00 2.2214e+00
2.8000e+01 1.0400e+01 4.3600e+00 2.6533e+00 1.7862e+00
2.9000e+01 8.6800e+00 4.1200e+00 2.2040e+00 1.9041e+00
3.0000e+01 1.0920e+01 4.6800e+00 3.4862e+00 2.3103e+00
3.1000e+01 1.0200e+01 4.8000e+00 3.3823e+00 2.1166e+00
3.2000e+01 1.0800e+01 4.8800e+00 2.4495e+00 1.7960e+00
3.3000e+01 1.0880e+01 5.0000e+00 2.7759e+00 1.6733e+00
3.4000e+01 1.1080e+01 4.2800e+00 3.4167e+00 1.7093e+00
3.5000e+01 1.1160e+01 4.9200e+00 3.5964e+00 2.1339e+00
3.6000e+01 1.1360e+01 4.3600e+00 3.1860e+00 2.0175e+00
3.7000e+01 1.0160e+01 5.0000e+00 2.4278e+00 1.2649e+00
3.8000e+01 9.9600e+00 4.6000e+00 3.4115e+00 2.2804e+00
3.9000e+01 1.0880e+01 5.1200e+00 2.9573e+00 2.3718e+00
4.0000e+01 9.9200e+00 4.2400e+00 2.5600e+00 2.0451e+00
4.1000e+01 1.0880e+01 5.2400e+00 2.7469e+00 1.8391e+00
4.2000e+01 1.0600e+01 4.4000e+00 3.0199e+00 1.8111e+00
4.3000e+01 1.0080e+01 4.9200e+00 2.0961e+00 1.8313e+00
4.4000e+01 1.0200e+01 5.1600e+00 3.0594e+00 1.6657e+00
4.5000e+01 1.0600e+01 5.6800e+00 2.7129e+00 1.7139e+00
4.6000e+01 1.0720e+01 5.6400e+00 2.3069e+00 2.6515e+00
4.7000e+01 1.0320e+01 4.1600e+00 1.9944e+00 2.0529e+00
4.8000e+01 1.0280e+01 4.8800e+00 2.3583e+00 1.8181e+00
4.9000e+01 1.0600e+01 4.6000e+00 2.9665e+00 1.6492e+00
5.0000e+01 1.1200e+01 4.7600e+00 3.0199e+00 2.0254e+00
