# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 7.5000e+01 6.0000e+01 0.0000e+00 0.0000e+00
1.0000e+00 3.1120e+01 1.3760e+01 2.9301e+00 2.2500e+00
2.0000e+00 2.6640e+01 9.7600e+00 2.5121e+00 2.6272e+00
3.0000e+00 2.5920e+01 8.8800e+00 3.0714e+00 2.3207e+00
4.0000e+00 2.6000e+01 8.4800e+00 2.6533e+00 2.1931e+00
5.0000e+00 2.4400e+01 8.4000e+00 4.0988e+00 2.7568e+00
6.0000e+00 2.4520e+01 7.4000e+00 3.0740e+00 2.9257e+00
7.0000e+00 2.5360e+01 8.2800e+00 3.6974e+00 2.4580e+00
8.0000e+00 2.3160e+01 7.2400e+00 3.1455e+00 1.7500e+00
9.0000e+00 2.5000e+01 7.8000e+00 3.6332e+00 2.2627e+00
1.0000e+01 2.4880e+01 7.1600e+00 3.8504e+00 2.6333e+00
1.1000e+01 2.3840e+01 7.3200e+00 3.4719e+00 2.6940e+00
1.2000e+01 2.3520e+01 7.6400e+00 3.5454e+00 2.9241e+00
1.3000e+01 2.3080e+01 7.9200e+00 3.0974e+00 2.9247e+00
1.4000e+01 2.3760e+01 7.0000e+00 3.3260e+00 2.1726e+00
1.5000e+01 2.3440e+01 7.5600e+00 2.9944e+00 2.0016e+00
1.6000e+01 2.4400e+01 7.8400e+00 3.3106e+00 1.9325e+00
1.7000e+01 2.5200e+01 8.2800e+00 2.6981e+00 2.5063e+00
1.8000e+01 2.4000e+01 7.2800e+00 3.1369e+00 2.5380e+00
1.9000e+01 2.4160e+01 7.1200e+00 2.6181e+00 2.1414e+00
2.0000e+01 2.2480e+01 6.7200e+00 2.5631e+00 1.6129e+00
2.1000e+01 2.3000e+01 6.9600e+00 3.2249e+00 2.6454e+00
2.2000e+01 2.4080e+01 7.4800e+00 2.6970e+00 2.4514e+00
2.3000e+01 2.4080e+01 6.7200e+00 2.5600e+00 2.2185e+00
2.4000e+01 2.4200e+01 7.2000e+00 2.9799e+00 2.3324e+00
2.5000e+01 2.3600e+01 7.4400e+00 3.0463e+00 2.5468e+00
2.6000e+01 2.4440e+01 7.2800e+00 2.2642e+00 2.4087e+00
2.7000e+01 2.3480e+01 7.2800e+00 2.5317e+00 2.5694e+00
2.8000e+01 2.4960e+01 7.5200e+00 3.6164e+00 2.3853e+00
2.9000e+01 2.3200e+01 6.8800e+00 3.4293e+00 3.2040e+00
3.0000e+01 2.3200e+01 7.2400e+00 3.5327e+00 2.8182e+00
3.1000e+01 2.4120e+01 7.4000e+00 3.9832e+00 2.4658e+00
3.2000e+01 2.2400e+01 7.0400e+00 2.8983e+00 2.0096e+00
3.3000e+01 2.4400e+01 6.6800e+00 2.7857e+00 2.1489e+00
3.4000e+01 2.4040e+01 7.3200e+00 2.8211e+00 2.8103e+00
3.5000e+01 2.3800e+01 7.4400e+00 3.3941e+00 2.5468e+00
3.6000e+01 2.3960e+01 7.2800e+00 3.3164e+00 2.5222e+00
3.7000e+01 2.4600e+01 8.3200e+00 3.7630e+00 3.2214e+00
3.8000e+01 2.3880e+01 7.4800e+00 2.9842e+00 2.2999e+00
3.9000e+01 2.4000e+01 7.0000e+00 4.1761e+00 2.5140e+00
4.0000e+01 2.4040e+01 7.1200e+00 3.5494e+00 2.6279e+00
4.1000e+01 2.4120e+01 7.1600e+00 3.0374e+00 2.5248e+00
4.2000e+01 2.3440e+01 6.8000e+00 2.9810e+00 2.0396e+00
4.3000e+01 2.3280e+01 7.0000e+00 2.9735e+00 2.8566e+00
4.4000e+01 2.3960e+01 7.1600e+00 3.1935e+00 2.5874e+00
4.5000e+01 2.4600e+01 7.7200e+00 2.9257e+00 2.9328e+00
4.6000e+01 2.4560e+01 7.2400e+00 3.9707e+00 2.2677e+00
4.7000e+01 2.4320e+01 7.3200e+00 3.4493e+00 2.0341e+00
4.8000e+01 2.4320e+01 7.1600e+00 3.3552e+00 2.1294e+00
4.9000e+01 2.4080e+01 7.1200e+00 3.0844e+00 2.6581e+00
5.0000e+01 2.4680e+01 7.9200e+00 2.8944e+00 2.9247e+00
