# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 7.5000e+01 1.5000e+01 0.0000e+00 0.0000e+00
1.0000e+00 5.6680e+01 2.9200e+00 3.2214e+00 1.6714e+00
2.0000e+00 5.4200e+01 1.1600e+00 2.5298e+00 1.1552e+00
3.0000e+00 5.4360e+01 1.3600e+00 3.7617e+00 1.1621e+00
4.0000e+00 5.3240e+01 1.2000e+00 2.4703e+00 1.1314e+00
5.0000e+00 5.3080e+01 8.0000e-01 2.4645e+00 7.4833e-01
6.0000e+00 5.3160e+01 6.8000e-01 2.7229e+00 7.3321e-01
7.0000e+00 5.1880e+01 6.4000e-01 2.5506e+00 7.4189e-01
8.0000e+00 5.1920e+01 6.8000e-01 2.6970e+00 7.3321e-01
9.0000e+00 5.3480e+01 1.0800e+00 3.2511e+00 1.0167e+00
1.0000e+01 5.2840e+01 9.6000e-01 3.2085e+00 9.1564e-01
1.1000e+01 5.3240e+01 7.6000e-01 1.9033e+00 8.1388e-01
1.2000e+01 5.1840e+01 1.0000e+00 2.6635e+00 1.0583e+00
1.3000e+01 5.2680e+01 8.4000e-01 2.9219e+00 8.3331e-01
1.4000e+01 5.2400e+01 8.4000e-01 2.6981e+00 9.6664e-01
1.5000e+01 5.1560e+01 7.2000e-01 2.5781e+00 7.7563e-01
1.6000e+01 5.1840e+01 4.0000e-01 2.6934e+00 7.4833e-01
1.7000e+01 5.1280e+01 5.2000e-01 2.6761e+00 7.5472e-01
1.8000e+01 5.1760e+01 7.6000e-01 3.1910e+00 7.6315e-01
1.9000e+01 5.1440e+01 5.6000e-01 2.1181e+00 6.3750e-01
2.0000e+01 5.1440e+01 7.2000e-01 3.1123e+00 8.7270e-01
2.1000e+01 5.1480e+01 2.8000e-01 2.5475e+00 4.4900e-01
2.2000e+01 5.1760e+01 4.8000e-01 3.0236e+00 6.9971e-01
2.3000e+01 5.0760e+01 4.4000e-01 3.1020e+00 6.3750e-01
2.4000e+01 5.2000e+01 6.4000e-01 3.0199e+00 7.9398e-01
2.5000e+01 5.2280e+01 9.2000e-01 2.8074e+00 7.9599e-01
2.6000e+01 5.1680e+01 5.6000e-01 2.8103e+00 7.5260e-01
2.7000e+01 5.2880e+01 8.4000e-01 2.2684e+00 9.2434e-01
2.8000e+01 5.2200e+01 5.2000e-01 2.5140e+00 5.7411e-01
2.9000e+01 5.2120e+01 7.6000e-01 3.4213e+00 8.1388e-01
3.0000e+01 5.2680e+01 8.4000e-01 2.3953e+00 8.8000e-01
3.1000e+01 5.3320e+01 8.0000e-01 2.3953e+00 8.4853e-01
3.2000e+01 5.2880e+01 7.2000e-01 2.4053e+00 7.7563e-01
3.3000e+01 5.2680e+01 7.2000e-01 2.7960e+00 7.2222e-01
3.4000e+01 5.2280e+01 6.4000e-01 2.8498e+00 7.9398e-01
3.5000e+01 5.1440e+01 4.4000e-01 2.5311e+00 4.9639e-01
3.6000e+01 5.1000e+01 4.4000e-01 2.4819e+00 7.5260e-01
3.7000e+01 5.1920e+01 8.4000e-01 3.0056e+00 8.3331e-01
3.8000e+01 5.2280e+01 8.4000e-01 2.0104e+00 8.3331e-01
3.9000e+01 5.2360e+01 3.2000e-01 2.0762e+00 4.6648e-01
4.0000e+01 5.2000e+01 5.6000e-01 2.4819e+00 6.3750e-01
4.1000e+01 5.1640e+01 7.2000e-01 2.7112e+00 9.1739e-01
4.2000e+01 5.2560e+01 7.2000e-01 2.3846e+00 6.6453e-01
4.3000e+01 5.2240e+01 6.8000e-01 3.0368e+00 9.6830e-01
4.4000e+01 5.1240e+01 4.8000e-01 3.0500e+00 6.4000e-01
4.5000e+01 5.1840e+01 8.0000e-01 2.7376e+00 1.0583e+00
4.6000e+01 5.2360e+01 7.2000e-01 2.4638e+00 8.2559e-01
4.7000e+01 5.2360e+01 6.8000e-01 2.7405e+00 8.3522e-01
4.8000e+01 5.2080e+01 7.2000e-01 2.6671e+00 7.7563e-01
4.9000e+01 5.2040e+01 8.4000e-01 3.0787e+00 8.3331e-01
5.0000e+01 5.1360e+01 6.0000e-01 2.8408e+00 6.3246e-01
