10000,poly_A
10001,poly_A
10002,poly_A
10003,poly_A
10004,poly_A
10005,poly_A
10006,poly_A
10007,poly_A
10008,poly_A
10009,poly_A
10010,poly_A
10011,poly_A
10012,poly_A
10013,poly_A
10014,poly_A
10015,poly_A
10016,poly_A
10017,poly_A
10018,poly_A
10019,poly_A
10020,poly_A
10021,poly_A
10022,poly_A
10023,poly_A
10024,poly_A
10025,poly_A
10026,poly_A
10027,poly_A
10028,poly_A
10029,poly_A
10030,poly_B
10031,poly_B
10032,poly_B
10033,poly_B
10034,poly_B
10035,poly_B
10036,poly_B
10037,poly_B
10038,poly_B
10039,poly_B
10040,poly_B
10041,poly_B
10042,poly_B
10043,poly_B
10044,poly_B
10045,poly_B
10046,poly_B
10047,poly_B
10048,poly_B
10049,poly_B
10050,poly_B
10051,poly_B
10052,poly_B
10053,poly_B
10054,poly_B
10055,poly_B
10056,poly_B
10057,poly_B
10058,poly_B
10059,poly_B
