# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 3.0000e+01 1.0500e+02 0.0000e+00 0.0000e+00
1.0000e+00 3.4000e+00 6.0760e+01 1.5748e+00 2.8040e+00
2.0000e+00 2.0400e+00 5.4560e+01 1.2484e+00 4.7251e+00
3.0000e+00 1.0800e+00 5.3240e+01 9.7652e-01 4.4836e+00
4.0000e+00 8.0000e-01 5.1520e+01 8.0000e-01 3.5454e+00
5.0000e+00 8.4000e-01 5.1120e+01 8.3331e-01 4.5897e+00
6.0000e+00 6.8000e-01 4.9640e+01 7.3321e-01 3.6208e+00
7.0000e+00 6.8000e-01 4.9200e+01 6.7646e-01 3.6986e+00
8.0000e+00 8.0000e-01 5.0360e+01 9.3808e-01 3.4742e+00
9.0000e+00 4.8000e-01 4.9160e+01 6.4000e-01 3.1455e+00
1.0000e+01 6.4000e-01 4.7480e+01 6.8586e-01 3.7107e+00
1.1000e+01 8.0000e-01 4.7960e+01 8.9443e-01 3.6930e+00
1.2000e+01 5.2000e-01 4.8560e+01 6.9971e-01 3.5109e+00
1.3000e+01 5.6000e-01 4.8840e+01 6.3750e-01 4.1635e+00
1.4000e+01 5.6000e-01 4.8640e+01 6.3750e-01 3.4045e+00
1.5000e+01 6.0000e-01 4.7720e+01 7.4833e-01 3.5499e+00
1.6000e+01 6.0000e-01 4.8880e+01 8.9443e-01 3.1025e+00
1.7000e+01 6.8000e-01 4.8400e+01 8.8182e-01 3.5665e+00
1.8000e+01 5.2000e-01 4.7880e+01 6.9971e-01 4.1983e+00
1.9000e+01 3.6000e-01 4.7880e+01 5.5714e-01 3.9122e+00
2.0000e+01 5.2000e-01 4.8400e+01 5.7411e-01 3.4756e+00
2.1000e+01 4.8000e-01 4.9440e+01 6.4000e-01 3.7532e+00
2.2000e+01 2.8000e-01 4.7600e+01 5.3066e-01 3.4176e+00
2.3000e+01 5.2000e-01 4.8520e+01 6.9971e-01 3.9306e+00
2.4000e+01 6.0000e-01 4.9520e+01 6.3246e-01 3.3481e+00
2.5000e+01 5.6000e-01 4.9480e+01 5.7131e-01 3.3361e+00
2.6000e+01 4.8000e-01 4.7360e+01 6.9971e-01 4.4441e+00
2.7000e+01 7.2000e-01 4.9440e+01 7.2222e-01 4.0800e+00
2.8000e+01 4.8000e-01 4.9880e+01 5.7411e-01 3.5589e+00
2.9000e+01 5.2000e-01 4.7400e+01 6.9971e-01 4.0890e+00
3.0000e+01 3.6000e-01 4.8040e+01 6.8586e-01 4.1903e+00
3.1000e+01 7.2000e-01 4.8680e+01 9.6000e-01 3.3193e+00
3.2000e+01 4.4000e-01 4.6640e+01 6.9742e-01 4.1365e+00
3.3000e+01 5.6000e-01 4.8000e+01 6.9742e-01 3.7842e+00
3.4000e+01 6.4000e-01 4.7520e+01 7.4189e-01 3.9610e+00
3.5000e+01 2.4000e-01 4.7520e+01 4.2708e-01 3.9711e+00
3.6000e+01 6.8000e-01 4.7200e+01 6.1449e-01 3.2741e+00
3.7000e+01 6.8000e-01 4.8880e+01 7.3321e-01 4.3111e+00
3.8000e+01 7.2000e-01 4.7480e+01 7.2222e-01 3.9204e+00
3.9000e+01 3.2000e-01 4.8600e+01 6.1449e-01 3.3347e+00
4.0000e+01 4.0000e-01 4.7680e+01 5.6569e-01 3.2829e+00
4.1000e+01 4.8000e-01 4.7960e+01 6.9971e-01 3.6604e+00
4.2000e+01 4.4000e-01 4.8520e+01 6.3750e-01 3.7536e+00
4.3000e+01 4.0000e-01 4.7440e+01 4.8990e-01 3.5786e+00
4.4000e+01 6.0000e-01 4.7160e+01 8.4853e-01 4.0168e+00
4.5000e+01 5.2000e-01 4.7880e+01 7.5472e-01 3.5250e+00
4.6000e+01 3.6000e-01 4.8360e+01 5.5714e-01 3.1734e+00
4.7000e+01 5.2000e-01 4.8520e+01 8.0598e-01 3.6013e+00
4.8000e+01 4.0000e-01 4.7880e+01 7.4833e-01 4.0627e+00
4.9000e+01 5.6000e-01 4.8600e+01 7.5260e-01 3.5100e+00
5.0000e+01 5.2000e-01 4.9040e+01 6.9971e-01 3.5041e+00
