Time (ms),ACS,ACO,std_ACO
0.0,1.0,1.0,0.0
1.0,2.33264525134638,7.688444444444444,3.2759316533668503
2.0,2.7080258383209816,8.974222222222222,4.1361289470550435
3.0,2.899208088387833,9.782666666666668,2.577942676718093
4.0,2.9930353092172783,10.462222222222222,2.473815466635085
5.0,3.1124045477757942,12.528444444444442,5.041663531067283
6.0,3.0589832343366963,12.793333333333333,6.0938649577634045
7.0,3.186297323199836,13.588000000000001,6.964835073778723
8.0,3.1135834124979556,14.587555555555552,7.288616742886908
9.000000000000002,3.105976005986847,12.043111111111111,6.327042739476359
10.0,3.1237369774594446,13.726222222222223,6.993933088712153
11.0,3.19522193765247,14.823555555555556,6.574472382717193
12.0,3.2420806896294114,16.044888888888888,7.573566428337738
13.000000000000002,3.138068382381708,15.12755555555556,9.97952279717118
14.0,3.164071737866473,17.46666666666667,9.523663575601281
15.0,3.1993355376936576,14.843555555555556,7.135249254645973
16.0,3.2667227606341287,14.59688888888889,5.369002500637511
17.0,3.1607959130022016,14.339111111111112,5.843704321535345
18.000000000000004,3.282262599982586,16.042222222222225,6.071683721166357
19.0,3.1494085134159695,15.227999999999998,10.407463191098687
20.0,3.1996480325716687,14.968888888888891,5.845143177496348
21.0,3.201604191999566,12.857333333333331,5.20949530030987
22.0,3.2612397262958046,16.449333333333332,9.442643007281537
23.0,3.237409487366507,15.671111111111111,8.09051815093553
24.0,3.100966430011984,11.180444444444445,4.117397332068337
25.0,3.233711010749853,16.218222222222224,8.399192718409767
26.000000000000004,3.2736684377076997,15.114666666666666,7.153133972576609
27.0,3.1829737680799077,13.192888888888888,7.340666286575368
28.0,3.178912677647878,13.947555555555553,8.668168257381234
29.0,2.9961573541183055,12.709333333333333,8.612763242227588
30.0,3.1527110606140827,12.015111111111109,5.134588475702294
31.0,3.1318778786533352,12.066222222222223,4.009773836792073
32.0,3.1477769240342566,12.320888888888888,4.52099772665774
33.0,3.1367197485457154,13.27422222222222,6.173415502212934
34.0,3.1272704500903528,14.783555555555557,6.214840955226885
35.0,3.202664030367101,12.924000000000001,4.819457148878548
36.00000000000001,3.132339286435989,11.430666666666669,4.30613261222574
37.0,3.195448059466443,14.69288888888889,7.61617050333056
38.0,3.124664929333434,13.394222222222224,4.771764815745859
39.0,3.3078465034093383,14.267999999999999,6.876136095580008
40.0,3.1571219786074574,11.872888888888887,4.044710711625832
41.0,3.111189318668416,12.769333333333332,11.355128619936835
42.0,3.180089508876455,12.545333333333335,6.036367086662164
43.0,3.203682051094252,14.46711111111111,6.977824826451433
44.0,3.1057367652983334,13.683555555555559,6.397930313491723
45.0,3.1738854311809894,12.827111111111112,4.067014047093919
46.0,3.094595605901393,13.337333333333333,6.262376687630486
47.0,3.228676822952416,14.624,7.6607640272678745
48.0,3.099430766669075,14.064444444444444,11.155648073985539
49.0,3.1952017659143817,12.414222222222222,6.045142541386349
50.0,3.1279841802928816,11.624444444444446,4.061920727931553
