Cluster size,frequency,foTM
1,0.6004830084526479,0.25785185185185183
2,0.15421769880972916,0.13244444444444445
3,0.09694669656718992,0.1248888888888889
4,0.036570639986199756,0.06281481481481481
5,0.03053303432810074,0.06555555555555555
6,0.01794031395549422,0.04622222222222223
7,0.01466275659824047,0.04407407407407408
8,0.0106951871657754,0.03674074074074074
9,0.006382611695704675,0.024666666666666667
10,0.005865102639296188,0.025185185185185185
11,0.0046575815076763845,0.022
12,0.002415042263239607,0.012444444444444445
13,0.003795066413662239,0.021185185185185185
14,0.002932551319648094,0.01762962962962963
15,0.0018975332068311196,0.012222222222222223
16,0.0015525271692254615,0.010666666666666666
17,0.0010350181128169743,0.007555555555555555
18,0.0005175090564084871,0.004
19,0.0006900120752113162,0.005629629629629629
20,0.0015525271692254615,0.013333333333333332
21,0.0008625150940141452,0.0077777777777777776
22,0.00017250301880282904,0.0016296296296296295
23,0.0005175090564084871,0.005111111111111111
24,0.0005175090564084871,0.005333333333333334
25,0.0008625150940141452,0.009259259259259259
26,0.00017250301880282904,0.001925925925925926
27,0.00017250301880282904,0.002
28,0.00017250301880282904,0.002074074074074074
29,0.00017250301880282904,0.002148148148148148
30,0.0005175090564084871,0.006666666666666666
36,0.00017250301880282904,0.0026666666666666666
40,0.00017250301880282904,0.002962962962962963
45,0.00017250301880282904,0.0033333333333333335
