Cluster size,frequency,foTM
1,0.6868352223190933,0.32825
2,0.08195292066259809,0.07833333333333332
3,0.0995640802092415,0.14275000000000002
4,0.041848299912816043,0.08
5,0.022319093286835224,0.05333333333333334
6,0.016913687881429818,0.0485
7,0.01011333914559721,0.03383333333333333
8,0.01028770706190061,0.03933333333333333
9,0.0064516129032258064,0.02775
10,0.004882301656495205,0.023333333333333334
11,0.002789886660854403,0.014666666666666666
12,0.0019180470793374019,0.011
13,0.0033129904097646034,0.020583333333333332
14,0.002092414995640802,0.014000000000000002
15,0.0012205754141238012,0.00875
16,0.0015693112467306015,0.012
17,0.001046207497820401,0.0085
18,0.001046207497820401,0.009000000000000001
19,0.0006974716652136007,0.006333333333333333
20,0.0003487358326068004,0.0033333333333333335
21,0.0008718395815170009,0.00875
22,0.0003487358326068004,0.0036666666666666666
23,0.0003487358326068004,0.003833333333333333
24,0.0003487358326068004,0.004
25,0.0001743679163034002,0.0020833333333333333
34,0.0001743679163034002,0.0028333333333333335
43,0.0001743679163034002,0.0035833333333333333
46,0.0003487358326068004,0.007666666666666666
